구,동,근린시설 수,면적(km2),근린시설 밀집도
중랑구,면목4동,14,0.87,16.091954022988507
중랑구,면목5동,18,0.7,25.714285714285715
중랑구,면목7동,32,1.2,26.666666666666668
중랑구,면목본동,34,0.84,40.476190476190474
중랑구,면목제3.8동,42,1.63,25.766871165644172
중랑구,묵1동,17,1.2,14.166666666666668
중랑구,묵2동,14,0.67,20.8955223880597
중랑구,상봉1동,11,0.88,12.5
중랑구,상봉2동,61,0.65,93.84615384615384
중랑구,신내1동,14,2.56,5.46875
중랑구,신내2동,6,0.93,6.451612903225806
중랑구,중화1동,10,0.64,15.625
중랑구,중화2동,31,1.01,30.693069306930692
