,MLSFCDC,VIAT_NM,x,y,city,gu,dong
4038,숙박시설,성원장여관,127.05705745168497,37.57219485976246,서울특별시,동대문구,답십리1동
4039,보건시설,최정애산부인과의원,127.05746211978658,37.5703883233828,서울특별시,동대문구,답십리2동
4040,숙박시설,그림모텔,127.04989968721186,37.57151077125264,서울특별시,동대문구,답십리1동
4041,보건시설,중앙약국,127.03425745720675,37.564440044527316,서울특별시,성동구,왕십리도선동
4042,숙박시설,귀빈여관,127.03435700365542,37.56401303223857,서울특별시,성동구,왕십리도선동
4043,서비스산업,MG새마을금고(배봉점),127.05828904847965,37.57836106000023,서울특별시,동대문구,전농2동
4044,보건시설,임명수치과의원,127.0590362966491,37.57791728729919,서울특별시,동대문구,전농2동
4045,보건시설,다일천사병원,127.04773218940565,37.5765913870865,서울특별시,동대문구,전농1동
4046,보건시설,성모약국,127.04849786044385,37.576376775399616,서울특별시,동대문구,전농1동
4047,지방행정기관,전농2동주민센터,127.05998879762923,37.57810823919923,서울특별시,동대문구,전농2동
4048,보건시설,대성빌딩동의생한의원,127.06579578040906,37.5638331677501,서울특별시,동대문구,장안1동
4049,보건시설,지혜병원,127.06594469056753,37.56163138146276,서울특별시,동대문구,장안1동
4050,서비스산업,배명상가,127.06584260779668,37.56225460036487,서울특별시,동대문구,장안1동
4051,숙박시설,행복한눈물호텔,127.06962261227804,37.569552761884054,서울특별시,동대문구,장안1동
4052,보건시설,박찬유치과,127.02348192069253,37.60342133316206,서울특별시,성북구,길음1동
4053,서비스산업,우리은행주차장,127.02491303369275,37.62779304753845,서울특별시,강북구,미아동
4054,서비스산업,영문구,127.02555742495267,37.620025308391085,서울특별시,강북구,송천동
4055,서비스산업,동아일보,127.02720223494673,37.617756964840105,서울특별시,강북구,송천동
4056,숙박시설,스타일리쉬엠호텔,127.07119798896117,37.56181885179072,서울특별시,동대문구,장안1동
4057,숙박시설,화신장여관,127.05145324075275,37.573410979888365,서울특별시,동대문구,답십리1동
4058,보건시설,빛소치과,127.05216292355307,37.573630404157164,서울특별시,동대문구,답십리1동
4059,숙박시설,장미여관,127.05014306972386,37.571738458641924,서울특별시,동대문구,답십리1동
4060,숙박시설,캐스팅모텔,127.05728118407443,37.57422344429046,서울특별시,동대문구,답십리1동
4061,보건시설,우리외과의원,127.04658268387323,37.575294616120985,서울특별시,동대문구,전농1동
4062,숙박시설,연화여관,127.04771670392739,37.57537445256215,서울특별시,동대문구,전농1동
4063,보건시설,서생당약국,127.04699326946239,37.57502330373883,서울특별시,동대문구,전농1동
4064,보건시설,원천빌딩한누리한의원,127.0334007580864,37.5618122515747,서울특별시,성동구,행당1동
4065,보건시설,한성아펠타워위너스비뇨기과의원,127.03406770471022,37.56253323167191,서울특별시,성동구,왕십리도선동
4066,서비스산업,MG새마을금고,127.03209745104958,37.56615516065299,서울특별시,성동구,왕십리도선동
4067,보건시설,청량리정신병원본관,127.04874830439934,37.58533830869681,서울특별시,동대문구,청량리동
4068,보건시설,청량리정신병원사택,127.04837138357108,37.58564828732388,서울특별시,동대문구,청량리동
4069,보건시설,청량리정신병원신관,127.04883574235002,37.585911131174704,서울특별시,동대문구,청량리동
4070,서비스산업,계종빌딩우리은행장안동지점,127.06758008915577,37.56635059495885,서울특별시,동대문구,장안1동
4071,지방행정기관,장안1동주민센터,127.06643483057736,37.56782261044299,서울특별시,동대문구,장안1동
4072,숙박시설,넥스호텔,127.06923234080377,37.56779572580882,서울특별시,동대문구,장안2동
4073,문화/예술시설,장안1동문화센터,127.06952412959642,37.56697899074027,서울특별시,동대문구,장안1동
4074,숙박시설,제일장여관,127.02309267941976,37.6033710614116,서울특별시,성북구,길음1동
4075,보건시설,홍치과의원,127.02289673365225,37.6031272987823,서울특별시,성북구,길음1동
4076,보건시설,동아약국,127.02917307903368,37.61947876959926,서울특별시,강북구,송중동
4077,서비스산업,신한은행미아점,127.02741935802136,37.622337307679786,서울특별시,강북구,송천동
4078,문화/예술시설,동대문AUDI전시장,127.06919459282878,37.560430072523964,서울특별시,성동구,용답동
4079,숙박시설,르네상스모텔,127.06936511279717,37.56142613797002,서울특별시,동대문구,장안1동
4080,숙박시설,신원모텔,127.06625675488151,37.564533414116994,서울특별시,동대문구,장안1동
4081,숙박시설,이다메모텔,127.07088032790975,37.569849582222,서울특별시,동대문구,장안2동
4082,보건시설,천하동인한의원,127.07422649807737,37.57139192680022,서울특별시,동대문구,장안2동
4083,보건시설,동양한의원,127.0562776318784,37.57271528150282,서울특별시,동대문구,답십리1동
4084,지방행정기관,사근동주민센터,127.0458774486656,37.56121353687989,서울특별시,성동구,사근동
4085,숙박시설,브르네모텔,127.03491879985039,37.56371252064636,서울특별시,성동구,왕십리도선동
4086,숙박시설,썬모텔,127.03482413891795,37.56327529040853,서울특별시,성동구,왕십리도선동
4087,숙박시설,현대모텔,127.03225471217807,37.56120211253234,서울특별시,성동구,왕십리2동
4088,숙박시설,동신여관,127.03554414106326,37.56537969403279,서울특별시,성동구,왕십리도선동
4089,숙박시설,금산장여관,127.05528832507885,37.57636595070056,서울특별시,동대문구,전농1동
4090,보건시설,신세원약국,127.02373304815364,37.603546800704585,서울특별시,성북구,길음1동
4091,숙박시설,하야로비모텔,127.0259614035088,37.61815614437703,서울특별시,강북구,송천동
4092,보건시설,순천향한의원,127.02887317220893,37.61565190790625,서울특별시,강북구,송천동
