STDR_YM,VIAT_SE_CD,VIAT_CD,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,ADRES_CD,ADRES_NM,TELNO,X_VALUE,Y_VALUE,ADRES_SP,BLCK_CD,REGIST_DE,ERSR_DE,REGIST_DT,geometry
,030103,0200,AA0000004069,교육/보건,교육시설,중등교육기관,공립중학교,,화계중학교,,,,200719.068298,559276.887878,,221575,,,,POINT (200719.06829833984 559276.887878418)
,050101,0000,AA0000004070,시설물,교통시설,철도/지하철,미분류,,갈매역,,,,210125.258484,559380.90332,,,,,,POINT (210125.25848388672 559380.9033203125)
,030101,0100,AA0000004071,교육/보건,교육시설,유아교육기관,어린이집,,소라숲어린이집,,,,209057.171875,561127.381531,,,,,,POINT (209057.171875 561127.3815307617)
,030101,0300,AA0000004072,교육/보건,교육시설,유아교육기관,사립유치원,,사랑유치원,,,,204118.56311,562866.289673,,349042,,,,POINT (204118.56311035156 562866.2896728516)
,030201,0000,AA0000004073,교육/보건,보건시설,병/의원,미분류,,이주영치과의원,,,,203979.476929,562921.631897,,348882,,,,POINT (203979.47692871094 562921.6318969727)
,030105,0204,AA0000004074,교육/보건,교육시설,대학교,종합대학,부속시설,서울과학기술대학교서울과학기술대학교도예관,,,,206988.307617,559521.90332,,364082,,,,POINT (206988.3076171875 559521.9033203125)
,030105,0204,AA0000004075,교육/보건,교육시설,대학교,종합대학,부속시설,서울과학기술대학교서울과학기술대학교다빈치관,,,,206934.315125,559523.102722,,364082,,,,POINT (206934.31512451172 559523.102722168)
,070301,0107,AA0000004076,숙박/음식,숙박시설,기타숙박시설,,,W모텔,,,,203566.56073,561997.017029,,363815,,,,POINT (203566.56072998047 561997.0170288086)
,030201,0000,AA0000004077,교육/보건,보건시설,병/의원,미분류,,다나병원,,,,203568.187378,561713.458801,,354433,,,,POINT (203568.1873779297 561713.4588012695)
,070301,0600,AA0000004078,산업,서비스산업,종합상품판매업,기타종합상품판매업,,우이축산,,,,203563.522705,562246.980591,,82391,,,,POINT (203563.52270507812 562246.9805908203)
,030101,0100,AA0000004079,교육/보건,교육시설,유아교육기관,어린이집,,새싹어린이집,,,,202772.561279,563182.880371,,349701,,,,POINT (202772.56127929688 563182.8803710938)
,030104,0200,AA0000004080,교육/보건,교육시설,고등교육기관,공립고등학교,,원묵고등학교,,,,207558.569275,557304.577087,,214385,,,,POINT (207558.56927490234 557304.5770874023)
,030102,0200,AA0000004081,교육/보건,교육시설,초등교육기관,공립초등학교,,원묵초등학교,,,,207571.567078,557584.651489,,214317,,,,POINT (207571.56707763672 557584.6514892578)
,030103,0200,AA0000004082,교육/보건,교육시설,중등교육기관,공립중학교,,한천중학교,,,,206414.249878,559075.71051,,410267,,,,POINT (206414.2498779297 559075.7105102539)
,030103,0200,AA0000004083,교육/보건,교육시설,중등교육기관,공립중학교,,월계중학교,,,,204628.022095,559006.512085,,362457,,,,POINT (204628.02209472656 559006.5120849609)
,030105,0104,AA0000004084,교육/보건,교육시설,대학교,전문대학,부속시설,인덕대학교은봉관,,,,204760.369324,559062.661926,,364418,,,,POINT (204760.36932373047 559062.6619262695)
,030105,0104,AA0000004085,교육/보건,교육시설,대학교,전문대학,부속시설,인덕대학교제5공학관,,,,204949.07782,559042.446289,,364418,,,,POINT (204949.07781982422 559042.4462890625)
,070301,0400,AA0000004086,산업,서비스산업,종합상품판매업,시장,미분류,"수유시장,현대약국",,,,202046.926819,559027.992188,,219550,,,,POINT (202046.92681884766 559027.9921875)
,030204,0000,AA0000004087,교육/보건,보건시설,한의원,,,오고싶은경희한의원,,,,204104.127197,565348.505127,,363496,,,,POINT (204104.12719726562 565348.5051269531)
,030102,0200,AA0000004088,교육/보건,교육시설,초등교육기관,공립초등학교,,서울누원초등학교,,,,204381.133606,565247.974304,,363502,,,,POINT (204381.13360595703 565247.9743041992)
,030101,0100,AA0000004089,교육/보건,교육시설,유아교육기관,어린이집,,이화어린이집,,,,202118.4104,561192.201416,,363295,,,,POINT (202118.41040039062 561192.2014160156)
,070305,0105,AA0000004090,산업,서비스산업,금융/보험업,일반은행,하나은행,KEB하나은행종로5가지점,,,,200402.70343,552424.289917,,192087,,,,POINT (200402.70343017578 552424.2899169922)
,060202,0101,AA0000004091,레저/관광/예술,문화/예술시설,미술관,미술관,대형미술관,CCI미술관,,,,198334.163696,552572.133606,,219506,,,,POINT (198334.16369628906 552572.133605957)
,030101,0100,AA0000004092,교육/보건,교육시설,유아교육기관,어린이집,,해맞이어린이집,,,,202771.724792,558008.943909,,220550,,,,POINT (202771.72479248047 558008.9439086914)
,030205,0100,AA0000004093,교육/보건,보건시설,기타보건시설,약국,미분류,송일약국,,,,202776.76062,557698.125916,,220607,,,,POINT (202776.7606201172 557698.1259155273)
,030102,0200,AA0000004094,교육/보건,교육시설,초등교육기관,공립초등학교,,서울송중초등학교,,,,202801.699585,557513.735474,,220620,,,,POINT (202801.69958496094 557513.7354736328)
,030101,0100,AA0000004095,교육/보건,교육시설,유아교육기관,어린이집,,신기어린이집,,,,201503.236389,559044.327087,,219547,,,,POINT (201503.23638916016 559044.3270874023)
,070301,0200,AA0000004096,산업,서비스산업,종합상품판매업,할인매장,미분류,하모니마트,,,,201426.171997,559056.871826,,219530,,,,POINT (201426.1719970703 559056.8718261719)
,030106,0100,AA0000004097,교육/보건,교육시설,기타교육기관,특수학교,,서울정인학교,,,,201071.156921,559043.711487,,215854,,,,POINT (201071.15692138672 559043.7114868164)
,070301,0107,AA0000004098,숙박/음식,숙박시설,기타숙박시설,,,몽모텔,,,,204030.637024,565173.414978,,364247,,,,POINT (204030.63702392578 565173.4149780273)
,030201,0000,AA0000004099,교육/보건,보건시설,병/의원,미분류,,도봉미치과,,,,204023.157715,564922.232422,,335821,,,,POINT (204023.15771484375 564922.232421875)
,070301,0107,AA0000004100,숙박/음식,숙박시설,기타숙박시설,,,도봉산모텔,,,,203989.202515,564692.022278,,364295,,,,POINT (203989.20251464844 564692.022277832)
,030201,0000,AA0000004101,교육/보건,보건시설,병/의원,미분류,,도담동물병원,,,,204018.637817,564779.764893,,364278,,,,POINT (204018.6378173828 564779.7648925781)
,050101,0000,AA0000004102,시설물,교통시설,철도/지하철,미분류,,도봉역,,,,204037.486511,564501.621826,,406850,,,,POINT (204037.48651123047 564501.6218261719)
,030201,0000,AA0000004103,교육/보건,보건시설,병/의원,미분류,,예사랑치과의원,,,,203030.357483,563002.265015,,99956,,,,POINT (203030.35748291016 563002.2650146484)
,030201,0000,AA0000004104,교육/보건,보건시설,병/의원,미분류,,구봉빌딩우창하안과의원,,,,202406.734131,560035.172302,,219892,,,,POINT (202406.73413085938 560035.1723022461)
,070305,0102,AA0000004105,산업,서비스산업,금융/보험업,일반은행,우리은행,우리은행강북구청지점,,,,202260.773071,560037.359619,,220101,,,,POINT (202260.77307128906 560037.3596191406)
,030101,0100,AA0000004106,교육/보건,교육시설,유아교육기관,어린이집,,쌍문삼성어린이집,,,,203046.353088,561263.781616,,102064,,,,POINT (203046.3530883789 561263.7816162109)
,070301,0200,AA0000004107,산업,서비스산업,종합상품판매업,할인매장,미분류,오목마트,,,,202937.070618,561196.170227,,118476,,,,POINT (202937.07061767578 561196.1702270508)
,030205,0103,AA0000004108,교육/보건,보건시설,기타보건시설,약국,옵티마,조광옵티마약국,,,,207131.098694,551231.164001,,210962,,,,POINT (207131.09869384766 551231.1640014648)
,010301,0700,AA0000004109,행정,지방행정기관,지방행정집행기관,동주민센터,,중곡제1동주민센터,,,,207064.538696,551238.247925,,210958,,,,POINT (207064.53869628906 551238.2479248047)
,030104,0200,AA0000004110,교육/보건,교육시설,고등교육기관,공립고등학교,,혜화여자고등학교,,,,201113.022095,559051.73053,,215854,,,,POINT (201113.02209472656 559051.7305297852)
,030102,0200,AA0000004111,교육/보건,교육시설,초등교육기관,공립초등학교,,서울수유초등학교,,,,201824.826904,559040.036072,,219544,,,,POINT (201824.82690429688 559040.0360717773)
,070301,0107,AA0000004112,숙박/음식,숙박시설,기타숙박시설,,,유진모텔,,,,202777.28717,556953.989197,,220731,,,,POINT (202777.28717041016 556953.9891967773)
,070301,0107,AA0000004113,숙박/음식,숙박시설,기타숙박시설,,,잠모텔,,,,202769.750671,556959.790527,,220731,,,,POINT (202769.75067138672 556959.7905273438)
,070301,0107,AA0000004114,숙박/음식,숙박시설,기타숙박시설,,,달동네모텔,,,,202772.846313,556913.09668,,220731,,,,POINT (202772.84631347656 556913.0966796875)
,070301,0107,AA0000004115,숙박/음식,숙박시설,기타숙박시설,,,쉐르빌모텔,,,,202768.204102,556902.998413,,220731,,,,POINT (202768.2041015625 556902.9984130859)
,030104,0200,AA0000004116,교육/보건,교육시설,고등교육기관,공립고등학교,,서울도시과학기술고등학교,,,,202915.4075,556411.5037,,217364,,,,POINT (202915.4075 556411.5037)
