구,동,정류장 수,면적(km2),면적당 정류장 수
중구,청구동,14,0.34,41.17647058823529
중구,필동,45,1.14,39.47368421052632
중구,황학동,27,0.33,81.81818181818181
중구,회현동,220,0.84,261.9047619047619
중랑구,망우3동,30,0.92,32.608695652173914
중랑구,망우본동,223,3.03,73.5973597359736
중랑구,면목2동,56,0.77,72.72727272727272
중랑구,면목4동,67,0.87,77.01149425287356
중랑구,면목5동,63,0.7,90.0
중랑구,면목7동,77,1.2,64.16666666666667
중랑구,면목본동,86,0.84,102.38095238095238
중랑구,면목제3.8동,87,1.63,53.37423312883436
중랑구,묵1동,92,1.2,76.66666666666667
중랑구,묵2동,38,0.67,56.71641791044776
중랑구,상봉1동,71,0.88,80.68181818181819
중랑구,상봉2동,66,0.65,101.53846153846153
중랑구,신내1동,232,2.56,90.625
중랑구,신내2동,114,0.93,122.58064516129032
중랑구,중화1동,44,0.64,68.75
중랑구,중화2동,72,1.01,71.2871287128713
