,name,x,y,city,gu,dong
26190,은평공영차고지,126.88381,37.5918,서울특별시,은평구,수색동
26191,월드컵경기장남측.월드컵공원,126.89632,37.56666,서울특별시,마포구,성산2동
26192,월드컵경기장서측.문화비축기지,126.89548,37.56928,서울특별시,마포구,성산2동
26193,증산교앞,126.90479,37.57831,서울특별시,서대문구,북가좌1동
26194,디지털미디어시티역,126.9006,37.57927,서울특별시,은평구,증산동
26195,수색역,126.89648,37.58176,서울특별시,은평구,수색동
26196,수색동주민센터,126.89766,37.58394,서울특별시,은평구,수색동
26197,수색대림아파트,126.90022,37.58591,서울특별시,은평구,수색동
26198,숭실고입구,126.90626,37.59181,서울특별시,은평구,신사2동
26199,현대아파트앞,126.90794,37.59371,서울특별시,은평구,신사2동
26200,신사사거리,126.90898,37.59572,서울특별시,은평구,신사2동
26201,덕은교.은평차고지앞,126.88346,37.59,서울특별시,은평구,수색동
26202,신사동고개.은평지역자활센터,126.91026,37.59845,서울특별시,은평구,신사1동
26203,서울기독대학교입구,126.91039,37.60148,서울특별시,은평구,신사1동
26204,시립서북병원,126.91056,37.60518,서울특별시,은평구,역촌동
26205,역촌동성당,126.91215,37.60556,서울특별시,은평구,역촌동
26206,역말사거리,126.91557,37.60619,서울특별시,은평구,역촌동
26207,구산역2번출구.예일여고,126.91691,37.60999,서울특별시,은평구,역촌동
26208,구산역1번출구,126.91755,37.6117,서울특별시,은평구,대조동
26209,대조동주민센터,126.91795,37.61411,서울특별시,은평구,대조동
26210,연신내역.로데오거리,126.92001,37.61786,서울특별시,은평구,대조동
26211,연신내역,126.92225,37.61756,서울특별시,은평구,대조동
26212,DMC첨단산업센터,126.88479,37.5856,서울특별시,마포구,상암동
26213,동명여고,126.92407,37.61602,서울특별시,은평구,대조동
26214,동명여고후문,126.92433,37.61344,서울특별시,은평구,대조동
26215,동명탕앞,126.92206,37.61142,서울특별시,은평구,대조동
26216,주유소앞,126.92083,37.60919,서울특별시,은평구,대조동
26217,구산역3번출구.예일여고,126.91688,37.61081,서울특별시,은평구,구산동
26218,역말사거리,126.91515,37.60625,서울특별시,은평구,역촌동
26219,역촌동성당,126.91255,37.60578,서울특별시,은평구,역촌동
26220,시립서북병원,126.91032,37.60473,서울특별시,은평구,역촌동
26221,서울기독대학교입구,126.91024,37.60207,서울특별시,은평구,역촌동
26222,우남교통,126.91014,37.59981,서울특별시,은평구,신사1동
26223,상암고등학교,126.88406,37.58182,서울특별시,마포구,상암동
26224,신사동고개,126.90993,37.59781,서울특별시,은평구,신사1동
26225,신사사거리,126.90882,37.59577,서울특별시,은평구,신사2동
26226,현대아파트앞,126.90771,37.59364,서울특별시,은평구,신사2동
26227,은평터널앞,126.90584,37.59165,서울특별시,은평구,신사2동
26228,수색대림아파트,126.90028,37.58614,서울특별시,은평구,수색동
26229,수색동주민센터,126.89772,37.58429,서울특별시,은평구,수색동
26230,수색역,126.89731,37.58077,서울특별시,은평구,수색동
26231,디지털미디어시티역,126.90131,37.57831,서울특별시,은평구,증산동
26232,증산교앞,126.90481,37.57808,서울특별시,서대문구,북가좌1동
26233,월드컵경기장서측.문화비축기지,126.89498,37.56954,서울특별시,마포구,성산2동
26234,월드컵파크5단지,126.88653,37.58038,서울특별시,마포구,상암동
26235,월드컵파크3단지후문,126.88976,37.57124,서울특별시,마포구,상암동
26236,월드컵파크3단지정문,126.88923,37.57382,서울특별시,마포구,상암동
26237,월드컵파크2단지.에스플렉스센터,126.89065,37.57527,서울특별시,마포구,상암동
26238,상암DMC홍보관.YTN,126.89132,37.57799,서울특별시,마포구,상암동
26239,누리꿈스퀘어.MBC,126.88964,37.57899,서울특별시,마포구,상암동
26240,월드컵파크5단지.상암중고등학교입구,126.88634,37.58092,서울특별시,마포구,상암동
26241,상암DMC입구,126.88263,37.58347,서울특별시,마포구,상암동
26242,DMC첨단산업센터,126.88519,37.58535,서울특별시,마포구,상암동
26243,덕은교.은평차고지앞,126.88563,37.58862,서울특별시,은평구,수색동
26244,상암DMC홍보관.YTN,126.8913,37.5775,서울특별시,마포구,상암동
26245,은평권역공영차고지,126.88499,37.59143,서울특별시,은평구,수색동
26246,월드컵파크2단지.에스플렉스센터,126.8903,37.57538,서울특별시,마포구,상암동
26247,월드컵파크3단지.난지천공원,126.88846,37.57232,서울특별시,마포구,상암동
26248,서부운수기점,126.91026,37.58163,서울특별시,서대문구,북가좌2동
26249,서서울농협본점,126.91808,37.5935,서울특별시,은평구,응암2동
26250,신진과학기술고등학교,126.92066,37.59791,서울특별시,은평구,응암1동
26251,서부병원,126.92358,37.60061,서울특별시,은평구,응암1동
26252,은평세무서,126.92666,37.60126,서울특별시,은평구,응암1동
26253,은평구청,126.93039,37.6012,서울특별시,은평구,응암1동
26254,녹번역,126.9348,37.60077,서울특별시,은평구,응암1동
26255,녹번동대림JR아파트앞,126.93721,37.59927,서울특별시,은평구,녹번동
26256,녹번역,126.93341,37.60117,서울특별시,은평구,녹번동
26257,은평구청,126.93039,37.60143,서울특별시,은평구,녹번동
26258,은평세무서,126.92631,37.60142,서울특별시,은평구,응암1동
26259,KT가좌지사,126.91314,37.58204,서울특별시,서대문구,북가좌2동
26260,서부병원,126.9238,37.6009,서울특별시,은평구,응암1동
26261,신진과학기술고등학교,126.92033,37.59791,서울특별시,은평구,응암1동
26262,응암시장,126.91799,37.59436,서울특별시,은평구,응암3동
26263,응암3동주민센터,126.91742,37.59131,서울특별시,은평구,응암3동
26264,응암정보도서관,126.9199,37.58657,서울특별시,은평구,응암3동
26265,서울중앙교회앞,126.91816,37.58527,서울특별시,은평구,응암3동
26266,은가어린이공원구150번종점,126.91964,37.58291,서울특별시,서대문구,북가좌2동
26267,응암정보도서관,126.92014,37.58667,서울특별시,은평구,응암3동
26268,대림시장,126.91652,37.58779,서울특별시,은평구,응암3동
26269,동도하이츠아파트,126.91478,37.58494,서울특별시,서대문구,북가좌2동
26270,동도하이츠아파트,126.91503,37.58472,서울특별시,서대문구,북가좌2동
26271,KT가좌지사,126.9134,37.58286,서울특별시,서대문구,북가좌2동
26272,응암정보도서관,126.9199,37.58657,서울특별시,은평구,응암3동
26273,서울중앙교회앞,126.91816,37.58527,서울특별시,은평구,응암3동
26274,은가어린이공원구150번종점,126.91964,37.58291,서울특별시,서대문구,북가좌2동
26275,응암정보도서관,126.92014,37.58667,서울특별시,은평구,응암3동
26276,대림시장,126.91705,37.58873,서울특별시,은평구,응암3동
26277,응암3동주민센터,126.91764,37.59158,서울특별시,은평구,응암2동
26278,선진운수종점,126.91086,37.6139,서울특별시,은평구,구산동
26279,은평구민체육센터앞,126.92215,37.63134,서울특별시,은평구,진관동
26280,신도초중교입구.한국고전번역원,126.92534,37.63149,서울특별시,은평구,진관동
26281,은평경찰서,126.92928,37.62812,서울특별시,은평구,불광2동
26282,연신초등학교.연신내성당,126.92904,37.62687,서울특별시,은평구,불광2동
26283,북한산대창센시티아파트,126.9297,37.62386,서울특별시,은평구,불광2동
26284,불광중학교,126.93108,37.62251,서울특별시,은평구,불광2동
26285,북한산수자인아파트,126.93166,37.62105,서울특별시,은평구,불광1동
26286,수리초등학교입구,126.93251,37.61909,서울특별시,은평구,불광1동
26287,불광1치안센터.독바위역,126.93308,37.61794,서울특별시,은평구,불광1동
26288,불광1동공동주차장앞,126.93273,37.6163,서울특별시,은평구,불광1동
26289,구산사거리,126.91251,37.61331,서울특별시,은평구,구산동
26290,불광대호아파트,126.93233,37.61453,서울특별시,은평구,불광1동
26291,불광초등학교,126.93147,37.61213,서울특별시,은평구,불광1동
26292,불광역3호선.서울혁신파크,126.93107,37.60907,서울특별시,은평구,대조동
26293,한전성서지사.북한산푸르지오,126.93381,37.60609,서울특별시,은평구,녹번동
26294,녹번역,126.93507,37.60231,서울특별시,은평구,녹번동
26295,홍은동동부센트레빌,126.93871,37.59676,서울특별시,서대문구,홍은2동
26296,산골고개,126.9403,37.59483,서울특별시,서대문구,홍은2동
26297,홍은현대아파트,126.93835,37.59006,서울특별시,서대문구,홍은2동
26298,정원여중,126.93526,37.58766,서울특별시,서대문구,홍은2동
26299,동신병원,126.93601,37.58083,서울특별시,서대문구,홍은2동
26300,역촌중앙시장,126.91468,37.61253,서울특별시,은평구,구산동
26301,서대문구청,126.93585,37.57868,서울특별시,서대문구,연희동
