구,동별,2021_all,2021_pub,2022_all,2022_pub
강서구,화곡2동,8,3,8,3
강서구,화곡3동,11,4,11,4
강서구,화곡4동,13,2,11,2
강서구,화곡6동,11,2,8,2
강서구,화곡8동,14,4,14,4
강서구,가양1동,22,3,22,3
강서구,가양2동,6,3,6,3
강서구,가양3동,11,3,9,3
강서구,발산1동,29,8,27,8
강서구,공항동,21,7,17,7
강서구,방화1동,30,12,30,12
강서구,방화2동,10,3,9,3
강서구,방화3동,13,4,12,3
강서구,화곡1동,20,4,17,4
강서구,우장산동,25,5,23,5
구로구,신도림동,30,8,29,8
구로구,구로1동,23,4,21,4
구로구,구로3동,19,8,16,9
구로구,구로4동,17,6,15,6
구로구,구로5동,19,3,18,3
구로구,고척1동,14,3,14,5
구로구,고척2동,20,7,19,7
구로구,개봉2동,22,12,20,12
구로구,개봉3동,10,4,9,4
구로구,오류1동,11,3,9,3
구로구,오류2동,33,15,30,15
구로구,수궁동,12,2,12,2
구로구,가리봉동,3,2,3,2
구로구,구로2동,13,3,13,3
구로구,개봉1동,21,7,19,6
구로구,항동,19,10,19,10
금천구,가산동,12,3,10,3
금천구,독산1동,27,15,27,15
금천구,독산2동,12,5,10,5
금천구,독산3동,10,3,9,3
금천구,독산4동,10,3,10,3
금천구,시흥1동,20,7,18,7
금천구,시흥2동,17,11,14,10
금천구,시흥3동,4,2,3,2
금천구,시흥4동,14,3,13,3
금천구,시흥5동,14,4,14,4
영등포구,여의동,32,3,33,3
영등포구,당산1동,14,5,13,4
영등포구,당산2동,19,8,19,8
영등포구,양평1동,13,4,13,4
영등포구,양평2동,19,6,18,6
영등포구,신길1동,8,3,7,4
영등포구,신길3동,9,3,8,3
영등포구,신길4동,6,4,6,4
영등포구,신길5동,3,3,3,3
영등포구,신길6동,14,6,13,6
영등포구,신길7동,10,4,10,4
영등포구,대림1동,9,4,9,4
영등포구,대림2동,6,2,5,2
영등포구,대림3동,12,4,11,4
영등포구,영등포본동,14,4,12,4
영등포구,영등포동,9,5,9,6
영등포구,도림동,11,3,11,3
영등포구,문래동,26,10,24,10
동작구,노량진2동,2,1,1,0
동작구,상도1동,19,7,16,7
동작구,상도2동,20,8,17,7
동작구,상도3동,10,2,9,2
동작구,상도4동,15,5,14,4
동작구,사당1동,7,2,6,2
동작구,사당3동,11,7,11,7
동작구,사당4동,9,2,8,2
동작구,사당5동,7,3,6,2
동작구,대방동,13,4,11,5
동작구,신대방1동,13,3,11,4
동작구,신대방2동,12,6,13,7
동작구,흑석동,16,6,14,7
동작구,노량진1동,16,7,15,7
동작구,사당2동,16,7,16,7
관악구,보라매동,12,4,12,4
관악구,청림동,15,9,15,9
관악구,행운동,11,5,10,5
관악구,낙성대동,8,3,7,2
관악구,중앙동,2,2,2,2
관악구,인헌동,10,4,9,4
관악구,남현동,6,1,6,1
관악구,서원동,8,5,7,5
관악구,신원동,6,2,6,2
관악구,서림동,9,2,7,1
관악구,신사동,10,4,9,4
관악구,신림동,3,2,3,2
관악구,난향동,13,3,11,3
관악구,조원동,8,4,8,5
관악구,대학동,6,1,5,1
관악구,은천동,15,7,15,7
관악구,성현동,18,5,15,5
관악구,청룡동,11,6,11,6
관악구,난곡동,13,5,11,5
관악구,삼성동,7,5,5,4
관악구,미성동,12,5,11,5
서초구,서초1동,11,4,11,4
서초구,서초2동,11,5,10,5
서초구,서초3동,11,4,11,4
서초구,서초4동,10,6,10,7
서초구,잠원동,10,4,9,4
서초구,반포본동,0,0,0,0
서초구,반포1동,11,7,9,6
서초구,반포2동,7,4,7,4
서초구,반포3동,11,5,9,5
서초구,반포4동,10,5,10,5
서초구,방배본동,5,3,5,3
서초구,방배1동,6,2,5,2
서초구,방배2동,9,5,9,5
서초구,방배3동,8,5,6,5
서초구,방배4동,9,3,9,3
서초구,양재1동,26,10,24,10
서초구,양재2동,9,6,10,6
서초구,내곡동,15,10,16,10
강남구,신사동,3,2,3,2
강남구,개포3동,0,0,8,3
강남구,논현1동,4,2,4,2
강남구,논현2동,4,1,4,1
강남구,삼성1동,7,2,7,2
강남구,삼성2동,13,4,13,4
강남구,대치1동,6,2,6,2
강남구,대치4동,10,2,8,2
강남구,역삼1동,13,1,13,1
강남구,역삼2동,13,2,13,2
강남구,도곡1동,5,1,5,1
강남구,도곡2동,4,2,4,2
강남구,개포1동,0,0,0,0
강남구,개포4동,12,4,12,4
강남구,일원본동,11,3,8,3
강남구,일원1동,9,2,9,2
강남구,일원2동,9,3,0,0
강남구,수서동,8,4,7,3
강남구,세곡동,32,14,30,14
강남구,압구정동,5,3,5,3
강남구,청담동,6,3,6,3
강남구,대치2동,10,3,11,3
강남구,개포2동,6,3,7,4
송파구,풍납1동,6,2,6,2
송파구,풍납2동,20,6,18,6
송파구,거여1동,9,5,9,5
송파구,거여2동,15,7,17,8
송파구,마천1동,8,2,7,2
송파구,마천2동,11,2,11,2
송파구,방이1동,6,0,5,0
송파구,방이2동,15,3,12,3
송파구,오륜동,1,0,1,0
송파구,오금동,19,6,19,6
송파구,송파1동,13,3,12,3
송파구,송파2동,7,1,7,1
송파구,석촌동,14,4,13,4
송파구,삼전동,13,3,11,3
송파구,가락본동,16,6,14,6
송파구,가락1동,14,9,14,9
송파구,가락2동,19,2,18,2
송파구,문정1동,9,2,8,2
송파구,문정2동,12,3,12,3
송파구,잠실본동,9,2,7,2
송파구,잠실4동,19,2,17,2
송파구,잠실6동,15,1,11,1
송파구,잠실7동,0,0,0,0
송파구,잠실2동,14,4,14,4
송파구,잠실3동,17,1,16,1
송파구,장지동,23,12,23,12
송파구,위례동,33,16,33,18
강동구,강일동,31,11,29,11
강동구,명일1동,13,4,13,4
강동구,명일2동,9,1,8,1
강동구,고덕1동,10,2,9,2
강동구,고덕2동,12,6,12,6
강동구,암사2동,15,3,14,3
강동구,암사3동,9,4,9,4
강동구,천호1동,17,6,16,6
강동구,천호3동,10,3,8,3
강동구,성내1동,13,5,13,5
강동구,성내2동,9,2,9,2
강동구,성내3동,11,4,11,4
강동구,둔촌1동,0,0,0,0
강동구,둔촌2동,16,5,15,5
강동구,암사1동,18,4,17,4
강동구,천호2동,10,5,10,5
강동구,길동,20,6,17,6
강동구,상일1동,14,8,13,8
강동구,상일2동,14,6,15,7
