,학교종류명,학교명,도로명주소,x,y,city,gu,dong
534,초등학교,상명초등학교,서울특별시 노원구 덕릉로 541,127.0675617,37.6625354,서울특별시,노원구,상계5동
535,고등학교,광운인공지능고등학교,서울특별시 노원구 광운로1길 24,127.0873997,37.6759999,서울특별시,노원구,상계3.4동
536,고등학교,서울동산고등학교,서울특별시 노원구 공릉로 257,127.055526,37.6196283,서울특별시,노원구,월계1동
537,고등학교,인덕과학기술고등학교,서울특별시 노원구 초안산로 12,127.0790507,37.6268136,서울특별시,노원구,공릉2동
538,평생학교(중)-2년6학기,학력인정 청암중학교(2년제),서울특별시 노원구 중계로 244,127.05448380485271,37.631183449999995,서울특별시,노원구,월계2동
539,평생학교(고)-2년6학기,학력인정 청암고등학교(2년제),서울특별시 노원구 중계로 244,127.08268,37.63891,서울특별시,노원구,공릉2동
540,고등학교,영신간호비즈니스고등학교,서울특별시 노원구 중계로16나길 13,127.08268,37.63891,서울특별시,노원구,공릉2동
541,고등학교,서울아이티고등학교,서울특별시 노원구 섬밭로 299,127.0821023,37.6516797,서울특별시,노원구,중계본동
542,고등학교,염광여자메디텍고등학교,서울특별시 노원구 월계로45가길 9,127.0629317,37.6443751,서울특별시,노원구,중계2.3동
543,외국인학교,아시아퍼시픽국제외국인학교,서울특별시 노원구 월계로45가길 57,127.050926,37.6298221,서울특별시,노원구,월계2동
544,고등기술학교,청암예술학교,서울특별시 노원구 중계로 244,127.050926,37.6298221,서울특별시,노원구,월계2동
545,고등학교,불암고등학교,서울특별시 노원구 중계로 155,127.08268,37.63891,서울특별시,노원구,공릉2동
546,고등학교,월계고등학교,서울특별시 노원구 초안산로5길 66,127.08268,37.63891,서울특별시,노원구,공릉2동
547,고등학교,염광고등학교,서울특별시 노원구 월계로45가길 9,127.0508606,37.6323479,서울특별시,노원구,월계2동
548,고등학교,상명고등학교,서울특별시 노원구 덕릉로 553,127.050926,37.6298221,서울특별시,노원구,월계2동
549,고등학교,미래산업과학고등학교,서울특별시 노원구 덕릉로82길 54,127.0873997,37.6759999,서울특별시,노원구,상계3.4동
550,특수학교,서울동천학교,서울특별시 노원구 노원로18길 41,127.0756057,37.6582542,서울특별시,노원구,중계4동
551,고등학교,노원고등학교,서울특별시 노원구 노원로 586,127.07357,37.64388,서울특별시,노원구,하계1동
552,고등학교,수락고등학교,서울특별시 노원구 동일로245길 143,127.07412,37.63933,서울특별시,노원구,하계1동
553,고등학교,청원여자고등학교,서울특별시 노원구 한글비석로 506,127.0523756,37.681352,서울특별시,노원구,상계1동
554,특수학교,서울정민학교,서울특별시 노원구 공릉로58길 24,127.06948626989912,37.6661065,서울특별시,노원구,상계5동
555,고등학교,경기기계공업고등학교,서울특별시 노원구 공릉로 264,127.0747629,37.6359258,서울특별시,노원구,하계1동
556,고등학교,혜성여자고등학교,서울특별시 노원구 노원로16길 2,127.0790507,37.6268136,서울특별시,노원구,공릉2동
557,고등학교,한국삼육고등학교,서울특별시 노원구 화랑로 815,127.0744692,37.6422144,서울특별시,노원구,하계1동
