,구,2022_pub_per
0,강남구,34.42622950819672
1,강동구,36.134453781512605
2,강북구,49.18032786885246
3,강서구,29.48717948717949
4,관악구,44.32432432432433
5,광진구,36.84210526315789
6,구로구,37.21804511278196
7,금천구,42.96875
8,노원구,30.392156862745097
9,도봉구,38.82352941176471
10,동대문구,41.84782608695652
11,동작구,41.66666666666667
12,마포구,45.45454545454545
13,서대문구,47.05882352941176
14,서초구,51.76470588235295
15,성동구,53.64238410596026
16,성북구,41.42857142857143
17,송파구,31.94029850746269
18,양천구,37.28813559322034
19,영등포구,36.607142857142854
20,용산구,33.9622641509434
21,은평구,41.474654377880185
22,종로구,45.07042253521127
23,중구,35.9375
24,중랑구,35.07853403141361
