,gu,dong,시설명,area_km2,density_supcent
136,마포구,서교동,1,1.65,0.6060606060606061
137,마포구,성산2동,1,2.07,0.48309178743961356
138,마포구,신수동,1,0.78,1.282051282051282
139,마포구,합정동,3,1.72,1.744186046511628
140,서대문구,남가좌2동,1,0.77,1.2987012987012987
141,서대문구,북가좌1동,1,0.55,1.8181818181818181
142,서대문구,천연동,2,0.97,2.061855670103093
143,서대문구,충현동,2,1.12,1.7857142857142856
144,서대문구,홍제2동,1,1.05,0.9523809523809523
145,서초구,방배1동,1,0.7,1.4285714285714286
146,서초구,방배2동,2,1.93,1.0362694300518136
147,서초구,방배4동,2,0.98,2.0408163265306123
148,서초구,양재1동,2,5.76,0.3472222222222222
149,서초구,양재2동,1,7.58,0.13192612137203166
150,성동구,금호2.3가동,1,0.64,1.5625
151,성동구,마장동,1,1.05,0.9523809523809523
152,성동구,성수1가1동,2,1.97,1.015228426395939
153,성동구,성수1가2동,1,0.89,1.1235955056179776
154,성동구,송정동,1,0.75,1.3333333333333333
155,성동구,왕십리2동,1,0.41,2.4390243902439024
156,성동구,용답동,1,2.31,0.4329004329004329
157,성동구,응봉동,1,0.57,1.7543859649122808
158,성동구,행당1동,1,0.59,1.6949152542372883
159,성북구,길음1동,1,0.79,1.2658227848101264
160,성북구,길음2동,1,0.58,1.7241379310344829
161,성북구,돈암1동,1,0.49,2.0408163265306123
162,성북구,동선동,1,0.73,1.36986301369863
163,성북구,삼선동,1,0.92,1.0869565217391304
164,성북구,석관동,2,1.73,1.1560693641618498
165,성북구,성북동,2,2.86,0.6993006993006994
166,성북구,안암동,1,1.33,0.7518796992481203
167,성북구,월곡1동,2,0.81,2.4691358024691357
168,성북구,장위1동,1,0.7,1.4285714285714286
169,성북구,장위2동,3,0.67,4.477611940298507
170,성북구,정릉1동,1,0.44,2.272727272727273
171,성북구,정릉3동,3,3.71,0.8086253369272237
172,성북구,정릉4동,2,3.13,0.6389776357827476
173,성북구,종암동,2,1.46,1.36986301369863
174,송파구,가락2동,1,0.96,1.0416666666666667
175,송파구,거여1동,2,0.51,3.9215686274509802
176,송파구,거여2동,1,0.53,1.8867924528301885
177,송파구,마천1동,2,0.58,3.4482758620689657
178,송파구,마천2동,2,0.89,2.247191011235955
179,송파구,문정1동,1,0.56,1.7857142857142856
180,송파구,삼전동,1,0.95,1.0526315789473684
181,송파구,석촌동,1,0.95,1.0526315789473684
182,송파구,오금동,4,1.65,2.4242424242424243
183,송파구,장지동,1,1.37,0.7299270072992701
184,송파구,풍납1동,1,0.77,1.2987012987012987
185,송파구,풍납2동,2,1.59,1.2578616352201257
186,양천구,목2동,3,1.03,2.912621359223301
187,양천구,목3동,1,0.53,1.8867924528301885
188,양천구,목4동,1,0.57,1.7543859649122808
189,양천구,신월1동,3,0.65,4.615384615384615
190,양천구,신월2동,2,0.61,3.278688524590164
191,양천구,신월3동,4,0.87,4.597701149425287
192,양천구,신월4동,1,0.52,1.923076923076923
193,양천구,신월5동,1,0.69,1.4492753623188408
194,양천구,신월7동,2,1.19,1.680672268907563
195,양천구,신정2동,1,0.52,1.923076923076923
196,양천구,신정4동,2,1.01,1.9801980198019802
197,양천구,신정7동,1,1.21,0.8264462809917356
198,영등포구,당산1동,2,0.75,2.6666666666666665
199,영등포구,당산2동,2,1.55,1.2903225806451613
200,영등포구,대림1동,2,0.49,4.081632653061225
201,영등포구,대림2동,1,0.55,1.8181818181818181
202,영등포구,대림3동,2,0.95,2.1052631578947367
203,영등포구,도림동,1,0.89,1.1235955056179776
204,영등포구,신길4동,1,0.38,2.6315789473684212
205,영등포구,신길6동,1,0.65,1.5384615384615383
206,영등포구,신길7동,1,0.64,1.5625
207,영등포구,양평1동,1,0.88,1.1363636363636365
208,영등포구,양평2동,2,3.0,0.6666666666666666
209,영등포구,영등포본동,1,1.02,0.9803921568627451
210,용산구,남영동,1,1.19,0.8403361344537815
211,용산구,보광동,1,0.71,1.4084507042253522
212,용산구,청파동,1,0.9,1.1111111111111112
213,용산구,효창동,1,0.44,2.272727272727273
214,용산구,후암동,1,0.86,1.1627906976744187
215,은평구,갈현1동,2,0.97,2.061855670103093
216,은평구,갈현2동,3,0.96,3.125
217,은평구,구산동,2,1.38,1.4492753623188408
218,은평구,녹번동,2,1.79,1.1173184357541899
219,은평구,대조동,1,0.85,1.1764705882352942
220,은평구,불광1동,2,3.13,0.6389776357827476
221,은평구,불광2동,1,1.38,0.7246376811594204
222,은평구,신사1동,1,0.84,1.1904761904761905
223,은평구,신사2동,3,1.0,3.0
224,은평구,역촌동,4,1.16,3.4482758620689657
225,은평구,응암1동,1,1.2,0.8333333333333334
226,은평구,응암3동,3,0.63,4.761904761904762
227,은평구,증산동,1,0.81,1.2345679012345678
228,은평구,진관동,1,11.53,0.08673026886383348
229,종로구,교남동,2,0.35,5.714285714285714
230,종로구,이화동,1,0.78,1.282051282051282
231,종로구,종로5.6가동,2,0.6,3.3333333333333335
232,종로구,창신1동,1,0.31,3.2258064516129035
233,종로구,창신2동,4,0.26,15.384615384615383
234,종로구,창신3동,1,0.23,4.3478260869565215
235,중구,다산동,2,0.51,3.9215686274509802
236,중구,중림동,1,0.48,2.0833333333333335
237,중랑구,망우3동,1,0.92,1.0869565217391304
238,중랑구,망우본동,2,3.03,0.6600660066006601
239,중랑구,면목2동,1,0.77,1.2987012987012987
240,중랑구,면목4동,1,0.87,1.1494252873563218
241,중랑구,면목5동,3,0.7,4.285714285714286
242,중랑구,면목본동,4,0.84,4.761904761904762
243,중랑구,면목제3.8동,3,1.63,1.8404907975460123
244,중랑구,묵1동,1,1.2,0.8333333333333334
245,중랑구,상봉1동,1,0.88,1.1363636363636365
246,중랑구,상봉2동,1,0.65,1.5384615384615383
247,중랑구,신내1동,1,2.56,0.390625
248,중랑구,신내2동,1,0.93,1.075268817204301
249,중랑구,중화1동,1,0.64,1.5625
250,중랑구,중화2동,1,1.01,0.9900990099009901
