,구,동,all_kin,pub_kin,ratio_kin,all_chi,pub_chi,ratio_chi
83,동대문구,청량리동,8,3,37.5,1.0,0.0,0.0
84,동대문구,용신동,14,6,42.85714285714285,1.0,0.0,0.0
85,동대문구,제기동,10,6,60.0,2.0,1.0,50.0
86,동대문구,전농1동,15,7,46.66666666666666,1.0,0.0,0.0
87,동대문구,전농2동,13,6,46.15384615384615,4.0,2.0,50.0
88,동대문구,답십리1동,16,8,50.0,1.0,1.0,100.0
89,동대문구,답십리2동,18,6,33.33333333333333,3.0,0.0,0.0
90,동대문구,장안1동,24,9,37.5,3.0,1.0,33.33333333333333
91,동대문구,장안2동,20,8,40.0,3.0,1.0,33.33333333333333
92,동대문구,이문1동,8,4,50.0,2.0,0.0,0.0
93,동대문구,이문2동,13,6,46.15384615384615,1.0,1.0,100.0
94,중랑구,면목2동,10,3,30.0,4.0,2.0,50.0
95,중랑구,면목4동,7,2,28.57142857142857,1.0,1.0,100.0
96,중랑구,면목5동,5,3,60.0,0.0,0.0,0.0
97,중랑구,면목7동,9,4,44.44444444444444,1.0,0.0,0.0
98,중랑구,상봉1동,11,5,45.45454545454545,2.0,0.0,0.0
99,중랑구,상봉2동,4,1,25.0,0.0,0.0,0.0
100,중랑구,중화1동,12,3,25.0,3.0,1.0,33.33333333333333
101,중랑구,중화2동,5,3,60.0,1.0,0.0,0.0
102,중랑구,묵1동,20,5,25.0,2.0,0.0,0.0
103,중랑구,묵2동,11,3,27.27272727272727,2.0,2.0,100.0
104,중랑구,망우3동,6,1,16.666666666666664,1.0,1.0,100.0
105,중랑구,신내1동,32,11,34.375,2.0,1.0,50.0
106,중랑구,신내2동,17,4,23.52941176470588,5.0,2.0,40.0
107,중랑구,면목본동,11,2,18.181818181818183,3.0,2.0,66.66666666666666
108,중랑구,면목3.8동,12,6,50.0,1.0,0.0,0.0
109,중랑구,망우본동,19,11,57.89473684210527,3.0,2.0,66.66666666666666
110,성북구,돈암1동,7,0,0.0,2.0,0.0,0.0
111,성북구,돈암2동,13,7,53.84615384615385,5.0,0.0,0.0
112,성북구,안암동,8,4,50.0,1.0,0.0,0.0
113,성북구,보문동,7,3,42.85714285714285,4.0,1.0,25.0
114,성북구,정릉1동,12,6,50.0,2.0,0.0,0.0
115,성북구,정릉2동,10,2,20.0,0.0,0.0,0.0
116,성북구,정릉3동,6,3,50.0,1.0,1.0,100.0
117,성북구,정릉4동,15,7,46.66666666666666,2.0,0.0,0.0
118,성북구,길음1동,21,5,23.809523809523807,6.0,3.0,50.0
119,성북구,길음2동,11,7,63.63636363636363,1.0,1.0,100.0
120,성북구,월곡1동,14,5,35.714285714285715,1.0,1.0,100.0
121,성북구,월곡2동,11,5,45.45454545454545,2.0,0.0,0.0
122,성북구,장위1동,8,3,37.5,3.0,1.0,33.33333333333333
123,성북구,장위2동,7,1,14.285714285714285,1.0,1.0,100.0
124,성북구,장위3동,10,4,40.0,1.0,1.0,100.0
125,성북구,성북동,4,2,50.0,3.0,1.0,33.33333333333333
126,성북구,삼선동,7,4,57.14285714285714,1.0,1.0,100.0
127,성북구,동선동,4,2,50.0,3.0,2.0,66.66666666666666
128,성북구,종암동,22,10,45.45454545454545,4.0,1.0,25.0
129,성북구,석관동,13,7,53.84615384615385,3.0,1.0,33.33333333333333
130,강북구,번1동,9,4,44.44444444444444,1.0,1.0,100.0
131,강북구,번2동,5,2,40.0,1.0,0.0,0.0
132,강북구,번3동,7,3,42.85714285714285,1.0,1.0,100.0
133,강북구,수유1동,6,2,33.33333333333333,1.0,1.0,100.0
134,강북구,수유2동,11,3,27.27272727272727,2.0,0.0,0.0
135,강북구,수유3동,8,1,12.5,0.0,0.0,0.0
136,강북구,삼양동,14,7,50.0,3.0,1.0,33.33333333333333
137,강북구,미아동,6,3,50.0,0.0,0.0,0.0
138,강북구,송중동,12,8,66.66666666666666,2.0,1.0,50.0
139,강북구,송천동,7,3,42.85714285714285,1.0,1.0,100.0
140,강북구,삼각산동,22,16,72.72727272727273,1.0,0.0,0.0
141,강북구,우이동,8,4,50.0,1.0,0.0,0.0
142,강북구,인수동,7,4,57.14285714285714,3.0,1.0,33.33333333333333
143,도봉구,쌍문1동,9,2,22.22222222222222,4.0,2.0,50.0
144,도봉구,쌍문2동,9,3,33.33333333333333,1.0,0.0,0.0
145,도봉구,쌍문3동,7,2,28.57142857142857,0.0,0.0,0.0
146,도봉구,쌍문4동,12,5,41.66666666666667,2.0,0.0,0.0
147,도봉구,방학1동,10,7,70.0,2.0,1.0,50.0
148,도봉구,방학2동,9,3,33.33333333333333,0.0,0.0,0.0
149,도봉구,방학3동,17,6,35.294117647058826,4.0,1.0,25.0
150,도봉구,창1동,13,5,38.46153846153847,1.0,0.0,0.0
151,도봉구,창2동,18,5,27.77777777777778,1.0,0.0,0.0
152,도봉구,창3동,9,5,55.55555555555556,2.0,1.0,50.0
153,도봉구,창4동,18,7,38.88888888888889,3.0,2.0,66.66666666666666
154,도봉구,창5동,12,3,25.0,4.0,2.0,50.0
155,도봉구,도봉1동,6,2,33.33333333333333,2.0,2.0,100.0
156,도봉구,도봉2동,21,11,52.38095238095239,2.0,0.0,0.0
157,노원구,월계1동,14,5,35.714285714285715,1.0,0.0,0.0
158,노원구,월계2동,15,8,53.333333333333336,5.0,1.0,20.0
159,노원구,월계3동,28,4,14.285714285714285,4.0,1.0,25.0
160,노원구,공릉2동,29,9,31.03448275862069,9.0,2.0,22.22222222222222
161,노원구,하계1동,10,4,40.0,3.0,1.0,33.33333333333333
162,노원구,하계2동,12,4,33.33333333333333,2.0,0.0,0.0
163,노원구,중계본동,5,2,40.0,3.0,1.0,33.33333333333333
164,노원구,중계1동,10,4,40.0,1.0,0.0,0.0
165,노원구,중계4동,7,1,14.285714285714285,2.0,0.0,0.0
166,노원구,상계1동,19,10,52.63157894736842,4.0,3.0,75.0
167,노원구,상계2동,12,3,25.0,1.0,1.0,100.0
168,노원구,상계5동,9,1,11.11111111111111,1.0,1.0,100.0
169,노원구,상계8동,32,8,25.0,4.0,2.0,50.0
170,노원구,상계9동,16,3,18.75,2.0,1.0,50.0
171,노원구,상계10동,11,3,27.27272727272727,3.0,1.0,33.33333333333333
172,노원구,상계3.4동,13,7,53.84615384615385,3.0,1.0,33.33333333333333
173,노원구,상계6.7동,24,5,20.833333333333336,2.0,1.0,50.0
174,노원구,중계2.3동,22,6,27.27272727272727,4.0,1.0,25.0
175,노원구,공릉1동,18,6,33.33333333333333,5.0,2.0,40.0
176,은평구,녹번동,19,7,36.84210526315789,4.0,2.0,50.0
177,은평구,불광1동,18,7,38.88888888888889,3.0,1.0,33.33333333333333
178,은평구,갈현1동,8,4,50.0,0.0,0.0,0.0
179,은평구,갈현2동,12,5,41.66666666666667,3.0,0.0,0.0
180,은평구,구산동,13,6,46.15384615384615,2.0,1.0,50.0
181,은평구,대조동,9,3,33.33333333333333,0.0,0.0,0.0
182,은평구,응암1동,13,6,46.15384615384615,3.0,1.0,33.33333333333333
183,은평구,응암2동,18,11,61.11111111111112,3.0,1.0,33.33333333333333
184,은평구,신사1동,11,3,27.27272727272727,1.0,0.0,0.0
185,은평구,신사2동,7,4,57.14285714285714,1.0,1.0,100.0
186,은평구,증산동,13,4,30.76923076923077,1.0,0.0,0.0
187,은평구,수색동,4,2,50.0,2.0,1.0,50.0
188,은평구,진관동,39,16,41.02564102564102,7.0,5.0,71.42857142857143
189,은평구,불광2동,8,3,37.5,3.0,3.0,100.0
190,은평구,응암3동,5,2,40.0,2.0,1.0,50.0
191,은평구,역촌동,20,7,35.0,2.0,1.0,50.0
192,서대문구,천연동,8,2,25.0,1.0,1.0,100.0
193,서대문구,홍제1동,12,4,33.33333333333333,2.0,0.0,0.0
194,서대문구,홍제3동,10,7,70.0,2.0,1.0,50.0
195,서대문구,홍제2동,4,2,50.0,1.0,0.0,0.0
196,서대문구,홍은1동,9,6,66.66666666666666,2.0,1.0,50.0
197,서대문구,홍은2동,7,3,42.85714285714285,1.0,0.0,0.0
198,서대문구,남가좌1동,13,7,53.84615384615385,1.0,1.0,100.0
199,서대문구,남가좌2동,17,7,41.17647058823529,3.0,0.0,0.0
200,서대문구,북가좌1동,10,5,50.0,1.0,0.0,0.0
201,서대문구,북가좌2동,10,4,40.0,2.0,0.0,0.0
202,서대문구,충현동,8,4,50.0,0.0,0.0,0.0
203,서대문구,북아현동,12,7,58.333333333333336,1.0,1.0,100.0
204,서대문구,신촌동,5,1,20.0,3.0,0.0,0.0
205,서대문구,연희동,11,5,45.45454545454545,1.0,0.0,0.0
206,마포구,용강동,12,4,33.33333333333333,1.0,0.0,0.0
207,마포구,대흥동,4,4,100.0,2.0,2.0,100.0
208,마포구,염리동,8,6,75.0,2.0,1.0,50.0
209,마포구,신수동,9,5,55.55555555555556,1.0,0.0,0.0
210,마포구,서교동,8,7,87.5,1.0,0.0,0.0
211,마포구,합정동,7,3,42.85714285714285,1.0,1.0,100.0
212,마포구,망원1동,11,4,36.36363636363637,0.0,0.0,0.0
213,마포구,망원2동,8,2,25.0,1.0,1.0,100.0
214,마포구,연남동,4,1,25.0,2.0,0.0,0.0
215,마포구,성산1동,5,1,20.0,2.0,1.0,50.0
216,마포구,성산2동,22,4,18.181818181818183,3.0,1.0,33.33333333333333
217,마포구,상암동,30,15,50.0,5.0,3.0,60.0
218,마포구,도화동,11,4,36.36363636363637,3.0,1.0,33.33333333333333
219,마포구,서강동,13,8,61.53846153846154,0.0,0.0,0.0
220,마포구,공덕동,14,6,42.85714285714285,3.0,2.0,66.66666666666666
221,마포구,아현동,21,11,52.38095238095239,0.0,0.0,0.0
222,양천구,목1동,10,3,30.0,2.0,1.0,50.0
223,양천구,목2동,12,3,25.0,2.0,1.0,50.0
224,양천구,목3동,13,5,38.46153846153847,2.0,0.0,0.0
225,양천구,목4동,10,6,60.0,0.0,0.0,0.0
226,양천구,신월1동,15,2,13.333333333333334,0.0,0.0,0.0
227,양천구,신월2동,17,3,17.647058823529413,0.0,0.0,0.0
228,양천구,신월3동,11,4,36.36363636363637,2.0,1.0,50.0
229,양천구,신월4동,12,3,25.0,2.0,0.0,0.0
230,양천구,신월5동,10,4,40.0,1.0,1.0,100.0
231,양천구,신월6동,10,5,50.0,0.0,0.0,0.0
232,양천구,신월7동,10,2,20.0,2.0,1.0,50.0
233,양천구,신정1동,9,2,22.22222222222222,2.0,0.0,0.0
234,양천구,신정2동,8,2,25.0,1.0,0.0,0.0
235,양천구,신정3동,32,22,68.75,6.0,4.0,66.66666666666666
236,양천구,신정6동,11,2,18.181818181818183,2.0,0.0,0.0
237,양천구,신정7동,15,7,46.66666666666666,3.0,0.0,0.0
238,양천구,목5동,15,4,26.666666666666668,7.0,3.0,42.85714285714285
239,양천구,신정4동,16,9,56.25,4.0,2.0,50.0
240,강서구,염창동,29,8,27.58620689655172,1.0,1.0,100.0
241,강서구,등촌1동,12,4,33.33333333333333,1.0,0.0,0.0
242,강서구,등촌2동,10,2,20.0,2.0,1.0,50.0
243,강서구,등촌3동,15,8,53.333333333333336,4.0,1.0,25.0
244,강서구,화곡본동,22,4,18.181818181818183,3.0,1.0,33.33333333333333
245,강서구,화곡2동,8,3,37.5,2.0,0.0,0.0
246,강서구,화곡3동,11,4,36.36363636363637,1.0,0.0,0.0
247,강서구,화곡4동,11,2,18.181818181818183,3.0,1.0,33.33333333333333
248,강서구,화곡6동,8,2,25.0,1.0,0.0,0.0
249,강서구,화곡8동,14,4,28.57142857142857,1.0,0.0,0.0
250,강서구,가양1동,22,3,13.636363636363637,3.0,0.0,0.0
251,강서구,가양2동,6,3,50.0,2.0,1.0,50.0
252,강서구,가양3동,9,3,33.33333333333333,3.0,1.0,33.33333333333333
253,강서구,발산1동,27,8,29.629629629629623,3.0,1.0,33.33333333333333
254,강서구,공항동,17,7,41.17647058823529,2.0,2.0,100.0
255,강서구,방화1동,30,12,40.0,5.0,3.0,60.0
256,강서구,방화2동,9,3,33.33333333333333,3.0,1.0,33.33333333333333
257,강서구,방화3동,12,3,25.0,3.0,1.0,33.33333333333333
258,강서구,화곡1동,17,4,23.52941176470588,2.0,2.0,100.0
259,강서구,우장산동,23,5,21.73913043478261,4.0,1.0,25.0
260,구로구,신도림동,29,8,27.58620689655172,3.0,1.0,33.33333333333333
261,구로구,구로1동,21,4,19.047619047619047,3.0,1.0,33.33333333333333
262,구로구,구로3동,16,9,56.25,3.0,2.0,66.66666666666666
263,구로구,구로4동,15,6,40.0,2.0,0.0,0.0
264,구로구,구로5동,18,3,16.666666666666664,1.0,1.0,100.0
265,구로구,고척1동,14,5,35.714285714285715,2.0,2.0,100.0
266,구로구,고척2동,19,7,36.84210526315789,1.0,1.0,100.0
267,구로구,개봉2동,20,12,60.0,3.0,0.0,0.0
268,구로구,개봉3동,9,4,44.44444444444444,1.0,1.0,100.0
269,구로구,오류1동,9,3,33.33333333333333,2.0,0.0,0.0
270,구로구,오류2동,30,15,50.0,5.0,3.0,60.0
