,동,공립
271,목2동,50.0
272,목3동,0.0
273,목5동,42.857142857142854
274,신월3동,50.0
275,신월4동,0.0
276,신월5동,100.0
277,신월7동,50.0
278,신정1동,0.0
279,신정2동,0.0
280,신정3동,66.66666666666667
281,신정4동,50.0
282,신정6동,0.0
283,신정7동,0.0
284,당산1동,0.0
285,당산2동,50.0
286,대림1동,0.0
287,대림2동,100.0
288,대림3동,25.0
289,도림동,0.0
290,문래동,100.0
291,신길3동,0.0
292,신길4동,33.333333333333336
293,신길5동,0.0
294,신길6동,50.0
295,신길7동,50.0
296,양평1동,33.333333333333336
297,양평2동,50.0
298,여의동,20.0
299,영등포동,33.333333333333336
300,영등포본동,0.0
301,서빙고동,100.0
302,용문동,0.0
303,원효로1동,100.0
304,원효로2동,0.0
305,이촌1동,0.0
306,청파동,100.0
307,한남동,100.0
308,후암동,0.0
309,갈현2동,0.0
310,구산동,50.0
311,녹번동,50.0
312,불광1동,33.333333333333336
313,불광2동,100.0
314,수색동,50.0
315,신사1동,0.0
316,신사2동,100.0
317,역촌동,50.0
318,응암1동,33.333333333333336
319,응암2동,33.333333333333336
320,응암3동,50.0
321,증산동,0.0
322,진관동,71.42857142857143
323,가회동,100.0
324,무악동,0.0
325,부암동,0.0
326,사직동,0.0
327,숭인1동,0.0
328,종로1.2.3.4가동,0.0
329,종로5.6가동,0.0
330,창신1동,100.0
331,창신3동,100.0
332,청운효자동,33.333333333333336
333,혜화동,33.333333333333336
334,다산동,50.0
335,소공동,100.0
336,신당5동,0.0
337,신당동,100.0
338,약수동,0.0
339,을지로동,0.0
340,장충동,100.0
341,중림동,0.0
342,청구동,0.0
343,필동,0.0
344,회현동,0.0
345,망우3동,100.0
346,망우본동,66.66666666666667
347,면목2동,50.0
348,면목3.8동,0.0
349,면목4동,100.0
350,면목7동,0.0
351,면목본동,66.66666666666667
352,묵1동,0.0
353,묵2동,100.0
354,상봉1동,0.0
355,신내1동,50.0
356,신내2동,40.0
357,중화1동,33.333333333333336
358,중화2동,0.0
