구,동,전체,국공립,국공립 어린이집 비율
노원구,중계1동,10,4,40.0
노원구,중계4동,7,1,14.285714285714285
노원구,상계1동,19,10,52.63157894736842
노원구,상계2동,12,3,25.0
노원구,상계5동,9,1,11.11111111111111
노원구,상계8동,32,8,25.0
노원구,상계9동,16,3,18.75
노원구,상계10동,11,3,27.27272727272727
노원구,상계3.4동,13,7,53.84615384615385
노원구,상계6.7동,24,5,20.833333333333336
노원구,중계2.3동,22,6,27.27272727272727
노원구,공릉1동,18,6,33.33333333333333
은평구,녹번동,19,7,36.84210526315789
은평구,불광1동,18,7,38.88888888888889
은평구,갈현1동,8,4,50.0
은평구,갈현2동,12,5,41.66666666666667
은평구,구산동,13,6,46.15384615384615
은평구,대조동,9,3,33.33333333333333
은평구,응암1동,13,6,46.15384615384615
은평구,응암2동,18,11,61.11111111111112
은평구,신사1동,11,3,27.27272727272727
은평구,신사2동,7,4,57.14285714285714
은평구,증산동,13,4,30.76923076923077
은평구,수색동,4,2,50.0
은평구,진관동,39,16,41.02564102564102
은평구,불광2동,8,3,37.5
은평구,응암3동,5,2,40.0
은평구,역촌동,20,7,35.0
서대문구,천연동,8,2,25.0
서대문구,홍제1동,12,4,33.33333333333333
서대문구,홍제3동,10,7,70.0
서대문구,홍제2동,4,2,50.0
서대문구,홍은1동,9,6,66.66666666666666
서대문구,홍은2동,7,3,42.85714285714285
서대문구,남가좌1동,13,7,53.84615384615385
서대문구,남가좌2동,17,7,41.17647058823529
서대문구,북가좌1동,10,5,50.0
서대문구,북가좌2동,10,4,40.0
서대문구,충현동,8,4,50.0
서대문구,북아현동,12,7,58.333333333333336
서대문구,신촌동,5,1,20.0
서대문구,연희동,11,5,45.45454545454545
마포구,용강동,12,4,33.33333333333333
마포구,대흥동,4,4,100.0
마포구,염리동,8,6,75.0
마포구,신수동,9,5,55.55555555555556
마포구,서교동,8,7,87.5
마포구,합정동,7,3,42.85714285714285
마포구,망원1동,11,4,36.36363636363637
마포구,망원2동,8,2,25.0
마포구,연남동,4,1,25.0
마포구,성산1동,5,1,20.0
마포구,성산2동,22,4,18.181818181818183
마포구,상암동,30,15,50.0
마포구,도화동,11,4,36.36363636363637
마포구,서강동,13,8,61.53846153846154
마포구,공덕동,14,6,42.85714285714285
마포구,아현동,21,11,52.38095238095239
양천구,목1동,10,3,30.0
양천구,목2동,12,3,25.0
양천구,목3동,13,5,38.46153846153847
양천구,목4동,10,6,60.0
양천구,신월1동,15,2,13.333333333333334
양천구,신월2동,17,3,17.647058823529413
양천구,신월3동,11,4,36.36363636363637
양천구,신월4동,12,3,25.0
양천구,신월5동,10,4,40.0
양천구,신월6동,10,5,50.0
양천구,신월7동,10,2,20.0
양천구,신정1동,9,2,22.22222222222222
양천구,신정2동,8,2,25.0
양천구,신정3동,32,22,68.75
양천구,신정6동,11,2,18.181818181818183
