구,동,병원수
금천구,시흥5동,28
영등포구,여의동,154
영등포구,당산1동,34
영등포구,당산2동,75
영등포구,양평1동,17
영등포구,양평2동,24
영등포구,신길1동,25
영등포구,신길3동,36
영등포구,신길4동,12
영등포구,신길5동,4
영등포구,신길6동,36
영등포구,신길7동,14
영등포구,대림1동,23
영등포구,대림2동,30
영등포구,대림3동,35
영등포구,영등포본동,17
영등포구,영등포동,126
영등포구,도림동,17
영등포구,문래동,50
동작구,사당5동,5
동작구,노량진2동,14
동작구,상도1동,47
동작구,상도2동,51
동작구,상도3동,31
동작구,상도4동,26
동작구,흑석동,43
동작구,사당1동,66
동작구,사당2동,64
동작구,사당3동,16
동작구,사당4동,38
동작구,노량진1동,31
동작구,대방동,60
동작구,신대방2동,33
동작구,신대방1동,35
관악구,보라매동,25
관악구,청림동,10
관악구,행운동,54
관악구,낙성대동,40
관악구,중앙동,56
관악구,인헌동,44
관악구,남현동,29
관악구,서원동,34
관악구,신원동,18
관악구,서림동,19
관악구,신사동,25
관악구,신림동,63
관악구,난향동,13
관악구,조원동,33
관악구,대학동,25
관악구,은천동,35
관악구,성현동,23
관악구,청룡동,53
관악구,난곡동,31
관악구,삼성동,16
관악구,미성동,27
서초구,서초1동,107
서초구,서초2동,93
서초구,서초3동,88
서초구,서초4동,235
서초구,잠원동,156
서초구,반포본동,50
서초구,반포1동,75
서초구,반포2동,20
서초구,반포3동,12
서초구,반포4동,38
서초구,방배본동,58
서초구,방배1동,59
서초구,방배2동,22
서초구,방배3동,14
서초구,방배4동,67
서초구,양재1동,88
서초구,양재2동,30
서초구,내곡동,17
강남구,신사동,640
강남구,논현1동,250
강남구,논현2동,149
강남구,삼성1동,92
강남구,삼성2동,73
강남구,대치1동,98
강남구,대치4동,99
강남구,역삼1동,403
강남구,역삼2동,92
강남구,도곡1동,86
강남구,도곡2동,45
강남구,개포1동,8
강남구,개포4동,33
강남구,일원본동,19
강남구,일원1동,22
강남구,일원2동,24
강남구,수서동,33
강남구,세곡동,29
강남구,압구정동,14
강남구,청담동,235
강남구,대치2동,89
강남구,개포2동,26
송파구,풍납1동,22
송파구,풍납2동,22
송파구,거여1동,23
송파구,거여2동,32
송파구,마천1동,32
송파구,마천2동,21
송파구,방이1동,70
송파구,방이2동,40
송파구,오륜동,3
송파구,오금동,29
송파구,송파1동,57
송파구,송파2동,22
송파구,석촌동,66
송파구,삼전동,49
송파구,가락본동,86
송파구,가락1동,6
송파구,가락2동,37
송파구,문정1동,80
송파구,문정2동,31
송파구,장지동,32
송파구,위례동,1
송파구,잠실본동,178
송파구,잠실4동,62
송파구,잠실6동,38
송파구,잠실7동,6
송파구,잠실2동,38
송파구,잠실3동,23
강동구,강일동,17
강동구,상일동,17
강동구,명일1동,77
강동구,명일2동,46
강동구,고덕1동,13
강동구,고덕2동,10
강동구,암사2동,33
강동구,암사3동,15
강동구,천호1동,29
강동구,천호3동,47
강동구,성내1동,28
강동구,성내2동,62
강동구,성내3동,80
강동구,둔촌1동,1
강동구,둔촌2동,28
강동구,암사1동,37
강동구,천호2동,118
강동구,길동,103
