동별(1),동별,~14세,~14세 비율
성북구,보문동,1548.0,0.09484131846587428
성북구,정릉1동,2020.0,0.1123658007453969
성북구,정릉2동,2009.0,0.08855291576673865
성북구,정릉3동,733.0,0.048565560193467174
성북구,정릉4동,2069.0,0.08468748720887397
성북구,길음1동,5316.0,0.15256134309083083
성북구,길음2동,3274.0,0.15170049115003242
성북구,월곡1동,2743.0,0.10570327552986512
성북구,월곡2동,1405.0,0.07339114082741328
성북구,장위1동,2529.0,0.1058646238854703
성북구,장위2동,812.0,0.06064679961162148
성북구,장위3동,2520.0,0.16022380467955238
성북구,성북동,1061.0,0.06520403146509342
성북구,삼선동,1460.0,0.06501603135019594
성북구,동선동,731.0,0.04849087893864013
성북구,종암동,3623.0,0.09491250130986063
성북구,석관동,2703.0,0.07843649342735266
강북구,소계,20501.0,0.06981202751481305
강북구,번1동,879.0,0.04851796655075344
강북구,번2동,820.0,0.05356676247713614
강북구,번3동,1168.0,0.07129341390465727
강북구,수유1동,1265.0,0.06242289661978781
강북구,수유2동,1450.0,0.0693514444231873
강북구,수유3동,1030.0,0.04484109708315194
강북구,삼양동,1717.0,0.07494543867306853
강북구,미아동,1035.0,0.04896858440575322
강북구,송중동,2179.0,0.07435844935844936
강북구,송천동,1376.0,0.05378361475922452
강북구,삼각산동,4042.0,0.1311060655205968
강북구,우이동,1438.0,0.0710333926101561
강북구,인수동,2102.0,0.07077202787784923
도봉구,소계,24976.0,0.08012987096318826
도봉구,쌍문1동,1609.0,0.07656435879133952
도봉구,쌍문2동,1339.0,0.07307356472385942
도봉구,쌍문3동,1150.0,0.06855848336711577
도봉구,쌍문4동,1698.0,0.0927514065657945
도봉구,방학1동,2142.0,0.07603294050830611
도봉구,방학2동,1233.0,0.0643796992481203
도봉구,방학3동,2639.0,0.09985621310731042
도봉구,창1동,2059.0,0.084527279444969
도봉구,창2동,2360.0,0.0823045267489712
도봉구,창3동,1011.0,0.07463457847335006
도봉구,창4동,2329.0,0.08952183271832719
도봉구,창5동,2090.0,0.08627094856765459
도봉구,도봉1동,1102.0,0.05383488031265266
도봉구,도봉2동,2215.0,0.08444207235713469
노원구,소계,45364.0,0.09005546578154343
노원구,월계1동,1569.0,0.07501434308663224
노원구,월계2동,2298.0,0.08864030858244937
노원구,월계3동,2896.0,0.09916110255093306
노원구,공릉2동,4868.0,0.11638137133020943
노원구,하계1동,1564.0,0.059150561627775045
노원구,하계2동,2131.0,0.09868939008011855
노원구,중계본동,2175.0,0.09285744780771037
노원구,중계1동,3021.0,0.11408610271903323
노원구,중계4동,1587.0,0.08139713802123404
노원구,상계1동,3185.0,0.08446707507889782
노원구,상계2동,1271.0,0.0652933319634234
노원구,상계5동,1453.0,0.061554755348443124
노원구,상계8동,3135.0,0.14063341108917998
노원구,상계9동,1752.0,0.08769207668051454
노원구,상계10동,1890.0,0.10258358662613981
노원구,상계3.4동,1921.0,0.07619689817936615
노원구,상계6.7동,3232.0,0.10127216895406405
노원구,중계2.3동,2703.0,0.08101060960258946
노원구,공릉1동,2713.0,0.07440623114475345
은평구,소계,40724.0,0.08725088163583619
은평구,녹번동,3485.0,0.09544023004244831
은평구,불광1동,3147.0,0.08281143097731698
은평구,갈현1동,1000.0,0.0588650812338121
은평구,갈현2동,1991.0,0.071344107213244
은평구,구산동,2396.0,0.0753103881816753
은평구,대조동,1528.0,0.05756913570944164
은평구,응암1동,3832.0,0.11627271899748157
은평구,응암2동,4705.0,0.1690743136409372
은평구,신사1동,2119.0,0.0791291683782068
은평구,신사2동,1476.0,0.07620030975735674
은평구,증산동,1624.0,0.08778378378378378
은평구,수색동,1432.0,0.10900510009895714
은평구,진관동,6021.0,0.10983017456813994
은평구,불광2동,1391.0,0.05144991862701583
은평구,응암3동,1274.0,0.05317195325542571
은평구,역촌동,3303.0,0.07407656596918523
서대문구,소계,28975.0,0.0945853749302239
서대문구,천연동,1667.0,0.09914946767382382
서대문구,홍제1동,2357.0,0.09648763713771083
서대문구,홍제3동,1567.0,0.08843614199446921
서대문구,홍제2동,1044.0,0.07834308869878433
서대문구,홍은1동,2162.0,0.09573149132128941
서대문구,홍은2동,1917.0,0.07170912355515655
서대문구,남가좌1동,3370.0,0.2023416391474032
서대문구,남가좌2동,3930.0,0.13412511518378212
서대문구,북가좌1동,1951.0,0.11020730949556572
서대문구,북가좌2동,2073.0,0.06702014160550904
서대문구,충현동,1789.0,0.09006695866686805
서대문구,북아현동,2069.0,0.13287521674908484
서대문구,신촌동,829.0,0.0408434744050845
서대문구,연희동,2250.0,0.06538226832882922
마포구,소계,34126.0,0.09358870989858435
마포구,용강동,3257.0,0.15262417994376756
마포구,대흥동,920.0,0.06347016212487064
마포구,염리동,2153.0,0.12847595178422247
마포구,신수동,2468.0,0.11074216997217984
마포구,서교동,1066.0,0.04346053489889106
마포구,합정동,1065.0,0.06376481858460065
마포구,망원1동,1384.0,0.07114949619576393
마포구,망원2동,1521.0,0.08334246575342466
마포구,연남동,774.0,0.052962912275899825
마포구,성산1동,1230.0,0.06568407561678949
마포구,성산2동,3113.0,0.0794294754031435
마포구,상암동,3274.0,0.10860479002189345
마포구,도화동,2068.0,0.09908485458291409
마포구,서강동,2644.0,0.10683259929694129
마포구,공덕동,3143.0,0.0853264558164789
마포구,아현동,4046.0,0.15746866972834125
양천구,소계,44382.0,0.10066661979082792
양천구,목1동,4378.0,0.143980004604203
양천구,목2동,2288.0,0.07774908250645643
양천구,목3동,1709.0,0.07916801778848381
양천구,목4동,1829.0,0.07360457161253973
양천구,신월1동,1261.0,0.06280506026496663
양천구,신월2동,1990.0,0.09748689560574143
양천구,신월3동,1129.0,0.07655275291564959
양천구,신월4동,1947.0,0.11059986366734834
양천구,신월5동,1258.0,0.0877633598437282
양천구,신월6동,2153.0,0.15647939530489136
양천구,신월7동,1312.0,0.06880637717642123
양천구,신정1동,2715.0,0.1367344883158743
양천구,신정2동,1882.0,0.09954511795197292
양천구,신정3동,5458.0,0.10864934806409873
양천구,신정6동,3113.0,0.12900418548754713
양천구,신정7동,2761.0,0.09713280562884785
양천구,목5동,5087.0,0.12518148485370476
양천구,신정4동,2112.0,0.06515301085883514
강서구,소계,52896.0,0.09293598001286092
강서구,염창동,5758.0,0.1387269310461138
강서구,등촌1동,1863.0,0.07523624909134966
강서구,등촌2동,1640.0,0.08308845881041646
강서구,등촌3동,2320.0,0.07771152944329068
강서구,화곡본동,2706.0,0.08022056207755247
강서구,화곡2동,1488.0,0.08496060294621445
강서구,화곡3동,1718.0,0.0800596486322755
강서구,화곡4동,1427.0,0.07051440430893907
강서구,화곡6동,1585.0,0.06333160186998042
강서구,화곡8동,1617.0,0.0673469387755102
강서구,가양1동,2193.0,0.06433915211970075
강서구,가양2동,689.0,0.049884158702577466
강서구,가양3동,920.0,0.06310446532683997
강서구,발산1동,4373.0,0.12166147340307144
강서구,공항동,5074.0,0.1670617674173581
강서구,방화1동,5536.0,0.129904261310306
강서구,방화2동,1653.0,0.0714872637633525
강서구,방화3동,1745.0,0.07786007495984294
강서구,화곡1동,3327.0,0.06434580794894111
강서구,우장산동,5264.0,0.12333934721994423
구로구,소계,37739.0,0.09546564132400744
구로구,신도림동,5070.0,0.14153708718349572
구로구,구로1동,2584.0,0.12523627199146997
구로구,구로3동,1627.0,0.06947350441948845
구로구,구로4동,975.0,0.05080241767403085
구로구,구로5동,2368.0,0.08089918349219363
구로구,고척1동,2330.0,0.09202938620744135
구로구,고척2동,2298.0,0.08794825672624287
구로구,개봉2동,2837.0,0.09371387044561161
구로구,개봉3동,1503.0,0.07557701010710514
구로구,오류1동,1516.0,0.06725522381438268
구로구,수궁동,1982.0,0.08602803941143279
구로구,가리봉동,308.0,0.03446732318710832
구로구,구로2동,1089.0,0.04707967662444339
구로구,개봉1동,3058.0,0.09166666666666666
구로구,오류2동,4093.0,0.10782970651773012
구로구,항동,4101.0,0.2499542878039861
금천구,소계,16499.0,0.0718466134243736
금천구,가산동,910.0,0.037586221139151624
금천구,독산1동,4582.0,0.09986704736165297
금천구,독산2동,1175.0,0.06447895516654777
금천구,독산3동,1251.0,0.052051260713988516
금천구,독산4동,855.0,0.057440376217668794
금천구,시흥1동,2366.0,0.07288971041281578
금천구,시흥2동,2053.0,0.0990973596563209
금천구,시흥3동,716.0,0.06789947842579422
금천구,시흥4동,1394.0,0.06978024728437704
금천구,시흥5동,1197.0,0.06397990272061575
영등포구,소계,36023.0,0.09588873361283023
영등포구,여의동,3967.0,0.12185532176317002
영등포구,당산1동,1476.0,0.07244882933294065
영등포구,당산2동,3795.0,0.10336093256346007
영등포구,양평1동,1840.0,0.10003261933239099
