법정동명,공시지가(원/㎡)
장지동,2046328
장충동1가,6349552
장충동2가,4353642
재동,8693452
저동1가,17244649
저동2가,15013699
적선동,12668453
전농동,3999820
정동,7611015
정릉동,2425943
제기동,3779825
종로1가,26732435
종로2가,42160368
종로3가,28669125
종로4가,19615287
종로5가,16127122
종로6가,8348077
종암동,3091599
주교동,11605438
주성동,6473663
주자동,4448350
중계동,2385505
중곡동,3867653
중동,3593224
중림동,6080401
중학동,11717491
중화동,3221803
증산동,3527015
진관동,1124116
창동,2926862
창성동,5193992
창신동,4394140
창전동,6180828
창천동,8471406
천연동,3744545
천왕동,1382214
천호동,5100748
청담동,17502559
청량리동,4094676
청암동,3510279
청운동,3264165
청진동,17484509
청파동1가,4830019
청파동2가,5443441
청파동3가,5679271
체부동,6070976
초동,12468486
충무로1가,61937440
충무로2가,38786412
충무로3가,14829607
충무로4가,11174000
충무로5가,10097806
충신동,4395213
충정로1가,10300134
충정로2가,5609857
충정로3가,4335526
태평로1가,23369596
태평로2가,25308682
토정동,2903280
통의동,6128090
통인동,6280022
팔판동,7073940
평동,8507808
평창동,2486042
풍납동,4031737
필동1가,9447352
필동2가,7001762
필동3가,5248386
필운동,5709412
하계동,2217797
하왕십리동,4381817
하월곡동,3746841
하중동,4191434
한강로1가,12615489
한강로2가,14617722
한강로3가,13665723
한남동,8385059
합동,5395851
합정동,6577590
항동,1392163
행당동,5267827
행촌동,2396871
현석동,3786754
현저동,1500718
혜화동,4976233
홍은동,2495867
홍익동,5260771
홍제동,3167587
홍지동,2270606
홍파동,3372397
화곡동,3712271
화동,6922729
화양동,6190914
황학동,6938012
회기동,4297213
회현동1가,10535937
회현동2가,7008893
회현동3가,9335876
효자동,4550903
효제동,8187719
효창동,5395758
후암동,4970125
훈정동,2811046
휘경동,3512721
흑석동,5166670
흥인동,8657741
