자치구별,주간인구지수(%)
소계,109
종로구,245
중구,321
용산구,125
성동구,113
광진구,90
동대문구,105
중랑구,82
성북구,94
강북구,83
도봉구,81
노원구,86
은평구,77
서대문구,105
마포구,121
양천구,82
강서구,97
구로구,104
금천구,129
영등포구,143
동작구,89
관악구,80
서초구,140
강남구,193
송파구,100
강동구,86
