자치구,수 
강남구,65
강동구,17
강북구,14
강서구,15
관악구,16
광진구,30
구로구,27
금천구,19
노원구,24
도봉구,26
동대문구,28
동안구,1
동작구,21
마포구,38
서대문구,18
서초구,39
성동구,20
성북구,27
송파구,43
양천구,21
영등포구,19
용산구,64
은평구,24
종로구,167
중구,72
중랑구,12
