,법정동명,mean_vlue/m**2,공시지가(원/㎡)
0,가락동,1231.7903965010369,7228324
1,가리봉동,573.0541634296474,3618488
2,가산동,802.2711024615851,3283833
3,가양동,1114.016098741508,4120376
4,가회동,1533.384690128132,5830060
5,갈월동,1335.768499329385,8354295
6,갈현동,622.6874772448348,3460446
7,강일동,867.5673543264676,1194059
8,개봉동,642.198913673007,3060889
9,개포동,1912.115505452532,5656751
10,개화동,796.8888699950389,465778
11,거여동,1147.1020641316406,5099937
12,견지동,759.1113341787506,10487925
13,경운동,828.7244641306623,8589638
14,계동,1361.003456051058,5358275
15,고덕동,1396.8442176257818,2845406
16,고척동,672.0507071318708,3003624
17,공덕동,1241.1461114014626,6266846
18,공릉동,740.4359743503127,2864964
19,공항동,701.7873081100278,3102955
20,관수동,2073.164158168522,15552127
21,관철동,783.48967330382,30128891
22,관훈동,2435.210008936551,14845283
23,광장동,1295.4765588286507,3137993
24,광희동1가,575.5312108048271,8629005
25,광희동2가,1165.609905031709,6156656
26,교남동,1822.1595974463876,9404432
27,교북동,1831.3681423821247,5265308
28,구기동,637.5192643603981,1963457
29,구로동,696.6223897545701,3432980
30,구산동,543.370428288608,2917409
31,구수동,895.8935096759025,5263892
32,구의동,827.1421901045115,4638931
33,군자동,805.0556878105668,4415365
34,궁동,562.0948177696125,1908495
35,권농동,2164.9448743664466,4253424
36,금호동1가,1318.6734230967393,3361905
37,금호동2가,1737.8418298201836,4278284
38,금호동3가,1299.535526445323,4649503
39,금호동4가,1688.4263297329924,4590225
40,길동,822.9579495967032,5085044
41,길음동,1176.7348329503216,4510509
42,낙원동,804.0610946073531,11985132
43,남가좌동,1070.1517716653825,4345656
44,남대문로5가,1215.1850373509826,12379761
45,남산동1가,2352.9411764705883,7232140
46,남산동2가,730.93005535929,5365225
47,남영동,1899.957815478749,13131051
48,남창동,981.8129401863296,18843794
49,남학동,743.3470439565885,4997523
50,남현동,801.6166559919404,5085995
51,내곡동,1761.729145593417,1095656
52,내발산동,845.104806500137,3657625
53,내수동,873.5055637674698,8385697
54,내자동,4830.377435064935,8757721
55,냉천동,1345.1636773815278,5074536
56,노고산동,1225.283604094251,8376279
57,노량진동,1240.5563738008996,5552791
58,녹번동,765.060542911297,3335902
59,논현동,1294.121791859783,12784535
60,누상동,616.604373215851,4051100
61,누하동,1249.43569640305,5636537
62,능동,832.0587869353105,4531540
63,답십리동,1033.0427906135849,3663141
64,당산동,1020.9521095765512,3041936
65,당산동1가,1042.921137048827,5091546
66,당산동2가,1091.2138765111958,5575943
67,당산동3가,1107.8635727421556,5994480
68,당산동4가,1254.0973739952483,5081568
69,당산동5가,1066.7141529213282,5299819
70,당산동6가,939.0529538324585,4720095
71,당인동,932.3784550347522,4547843
72,당주동,822.3889355359054,17904133
73,대림동,823.3275678818814,3914819
74,대방동,1075.2217532134002,4393309
75,대신동,943.4122560239196,4736603
76,대조동,763.8837515335712,4465233
77,대치동,1886.515444461065,14165490
78,대현동,1103.644254004065,12950220
79,대흥동,1386.5771267591433,6337586
80,도곡동,1885.62988967911,9799314
81,도림동,807.8053981779913,3062735
82,도봉동,532.6873917172597,2027797
83,도선동,1016.107407526622,6824988
84,도원동,1414.8956273578433,6191617
85,도화동,1115.1496541313893,7795204
86,독산동,754.856102141633,3207780
87,돈암동,897.6260351161326,2410076
88,돈의동,648.6826337557226,8505646
89,동교동,869.8741266833235,10523328
90,동빙고동,2205.0448863415304,7280596
91,동선동1가,708.3312490851654,8919875
92,동선동2가,450.1770742497656,4858869
93,동선동3가,613.7847632849428,4438996
94,동선동4가,796.0232220542408,5369897
95,동선동5가,625.9874664759185,4244553
96,동소문동1가,915.4786009604542,5798769
97,동소문동2가,1682.6015779785096,5446829
98,동소문동4가,700.8972910936039,5309619
99,동소문동5가,1199.83200078494,7176403
100,동소문동6가,1006.05467867296,5324522
101,동소문동7가,906.9519107494524,4115689
102,동숭동,599.5608951697823,4965289
103,동자동,1227.583988671282,8907169
104,동작동,1242.2933419704775,2184721
105,둔촌동,945.9660914501374,3221826
106,등촌동,834.6121402049974,4463036
107,마곡동,933.6486568257652,3326536
108,마장동,1016.7543497189868,4140911
