구,동,센터 수,면적(km2),면적당 아동센터 수
강남구,세곡동,1,6.36,0.1572327044025157
강남구,일원1동,1,0.92,1.0869565217391304
강동구,강일동,2,2.26,0.8849557522123894
강동구,고덕1동,1,1.51,0.6622516556291391
강동구,고덕2동,2,2.5,0.8
강동구,길동,5,1.61,3.105590062111801
강동구,명일1동,2,0.61,3.278688524590164
강동구,상일2동,1,1.09,0.9174311926605504
강동구,성내2동,2,0.67,2.985074626865672
강동구,성내3동,2,0.71,2.8169014084507045
강동구,암사1동,2,1.02,1.96078431372549
강동구,암사3동,1,2.51,0.398406374501992
강동구,천호1동,2,0.71,2.8169014084507045
강동구,천호2동,3,1.57,1.910828025477707
강북구,번1동,1,0.66,1.5151515151515151
강북구,번2동,3,0.95,3.1578947368421053
강북구,번3동,3,1.1,2.727272727272727
강북구,삼양동,2,0.91,2.197802197802197
강북구,송중동,3,1.01,2.9702970297029703
강북구,송천동,2,0.9,2.2222222222222223
강북구,수유2동,3,0.57,5.2631578947368425
강북구,수유3동,1,0.72,1.3888888888888888
강북구,우이동,2,10.28,0.1945525291828793
강북구,인수동,1,3.28,0.3048780487804878
강서구,공항동,3,10.87,0.2759889604415823
강서구,등촌3동,2,0.79,2.531645569620253
강서구,발산1동,1,2.94,0.3401360544217687
강서구,방화1동,3,1.48,2.027027027027027
강서구,방화2동,2,6.41,0.31201248049922
강서구,염창동,1,1.74,0.5747126436781609
강서구,우장산동,1,1.36,0.7352941176470588
강서구,화곡1동,3,1.12,2.6785714285714284
강서구,화곡4동,1,0.82,1.2195121951219512
강서구,화곡6동,1,1.11,0.9009009009009008
강서구,화곡본동,2,0.98,2.0408163265306123
관악구,난곡동,2,0.96,2.083333333333333
관악구,난향동,2,0.8,2.5
관악구,대학동,1,8.3,0.1204819277108433
관악구,미성동,4,1.38,2.8985507246376816
관악구,보라매동,1,0.76,1.3157894736842106
관악구,삼성동,1,2.66,0.3759398496240601
관악구,서림동,2,0.99,2.0202020202020203
관악구,서원동,1,0.65,1.5384615384615383
관악구,성현동,2,0.68,2.941176470588235
관악구,신사동,3,0.64,4.6875
관악구,은천동,1,0.78,1.282051282051282
관악구,인헌동,1,1.08,0.9259259259259258
관악구,조원동,1,0.67,1.4925373134328357
관악구,중앙동,1,0.39,2.564102564102564
관악구,청룡동,1,1.18,0.8474576271186441
관악구,행운동,2,0.72,2.7777777777777777
광진구,구의1동,1,0.56,1.7857142857142856
광진구,구의2동,1,1.39,0.7194244604316548
광진구,군자동,1,0.74,1.351351351351351
광진구,자양1동,2,0.57,3.5087719298245617
광진구,자양2동,1,1.68,0.5952380952380952
광진구,자양4동,2,1.16,1.7241379310344829
광진구,중곡3동,1,0.6,1.6666666666666667
광진구,중곡4동,4,2.32,1.7241379310344829
구로구,가리봉동,1,0.4,2.5
구로구,개봉1동,2,1.31,1.5267175572519085
구로구,개봉2동,2,0.8,2.5
구로구,개봉3동,3,0.81,3.7037037037037033
구로구,고척1동,2,1.16,1.7241379310344829
구로구,고척2동,1,1.02,0.9803921568627452
구로구,구로2동,1,1.76,0.5681818181818182
구로구,구로3동,1,1.02,0.9803921568627452
구로구,구로4동,3,0.46,6.521739130434782
구로구,구로5동,2,1.03,1.941747572815534
구로구,수궁동,2,2.67,0.7490636704119851
구로구,오류1동,3,0.59,5.084745762711865
구로구,오류2동,2,3.2,0.625
금천구,가산동,1,2.52,0.3968253968253968
금천구,독산1동,4,2.09,1.9138755980861248
금천구,독산2동,4,0.6,6.666666666666667
금천구,독산3동,3,0.92,3.260869565217391
금천구,독산4동,2,0.59,3.389830508474577
금천구,시흥1동,4,1.71,2.3391812865497075
