구별,동별,합계,외국인,외국인 비율
노원구,하계2동,21642,49,0.0
노원구,중계본동,23477,54,0.0
노원구,중계1동,26580,100,0.0
노원구,중계4동,19601,104,0.01
노원구,상계1동,37857,150,0.0
노원구,상계2동,19629,163,0.01
노원구,상계5동,23737,132,0.01
노원구,상계8동,22344,52,0.0
노원구,상계9동,20071,92,0.0
노원구,상계10동,18477,53,0.0
노원구,상계3.4동,25324,113,0.0
노원구,상계6.7동,32044,130,0.0
노원구,중계2.3동,33497,131,0.0
노원구,공릉1동,37184,722,0.02
은평구,소계,470602,3856,0.01
은평구,녹번동,36884,369,0.01
은평구,불광1동,38265,263,0.01
은평구,갈현1동,17151,163,0.01
은평구,갈현2동,28176,269,0.01
은평구,구산동,32020,205,0.01
은평구,대조동,26862,320,0.01
은평구,응암1동,33279,322,0.01
은평구,응암2동,28016,188,0.01
은평구,신사1동,26984,205,0.01
은평구,신사2동,19497,127,0.01
은평구,증산동,18647,147,0.01
은평구,수색동,13210,73,0.01
은평구,진관동,55034,213,0.0
은평구,불광2동,27280,244,0.01
은평구,응암3동,24313,353,0.01
은평구,역촌동,44984,395,0.01
서대문구,소계,319554,13217,0.04
서대문구,천연동,17031,218,0.01
서대문구,홍제1동,24674,246,0.01
서대문구,홍제3동,17890,171,0.01
서대문구,홍제2동,13433,107,0.01
서대문구,홍은1동,22825,241,0.01
서대문구,홍은2동,27499,766,0.03
서대문구,남가좌1동,16884,229,0.01
서대문구,남가좌2동,30508,1207,0.04
서대문구,북가좌1동,17804,101,0.01
서대문구,북가좌2동,31244,313,0.01
서대문구,충현동,20316,453,0.02
서대문구,북아현동,15875,304,0.02
서대문구,신촌동,26143,5846,0.22
서대문구,연희동,37428,3015,0.08
마포구,소계,375585,10947,0.03
마포구,용강동,21786,446,0.02
마포구,대흥동,16177,1682,0.1
마포구,염리동,17633,875,0.05
마포구,신수동,22672,386,0.02
마포구,서교동,26674,2146,0.08
마포구,합정동,17064,362,0.02
마포구,망원1동,19757,305,0.02
마포구,망원2동,18449,199,0.01
마포구,연남동,15603,989,0.06
마포구,성산1동,19079,353,0.02
마포구,성산2동,39500,308,0.01
마포구,상암동,30837,691,0.02
마포구,도화동,21118,247,0.01
마포구,서강동,25576,827,0.03
마포구,공덕동,37476,641,0.02
마포구,아현동,26184,490,0.02
양천구,소계,444010,3129,0.01
양천구,목1동,30536,129,0.0
양천구,목2동,29641,213,0.01
양천구,목3동,21719,132,0.01
양천구,목4동,25018,169,0.01
양천구,신월1동,20343,265,0.01
양천구,신월2동,20569,156,0.01
양천구,신월3동,14934,186,0.01
양천구,신월4동,17698,94,0.01
양천구,신월5동,14461,127,0.01
양천구,신월6동,13816,57,0.0
양천구,신월7동,19199,131,0.01
양천구,신정1동,19962,106,0.01
양천구,신정2동,19003,97,0.01
양천구,신정3동,50587,352,0.01
양천구,신정6동,24152,21,0.0
양천구,신정7동,28579,154,0.01
양천구,목5동,40737,100,0.0
양천구,신정4동,33056,640,0.02
강서구,소계,574638,5472,0.01
강서구,염창동,41628,122,0.0
강서구,등촌1동,24991,229,0.01
강서구,등촌2동,19855,117,0.01
강서구,등촌3동,30025,171,0.01
강서구,화곡본동,34121,389,0.01
강서구,화곡2동,17785,271,0.02
강서구,화곡3동,21603,144,0.01
강서구,화곡4동,20514,277,0.01
강서구,화곡6동,25303,276,0.01
강서구,화곡8동,24415,405,0.02
강서구,가양1동,34359,274,0.01
강서구,가양2동,13902,90,0.01
강서구,가양3동,14678,99,0.01
강서구,발산1동,36236,292,0.01
강서구,공항동,30927,555,0.02
