,구,동,14세 이하 아동 수,~14세 비율,전체 어린이집 수,국공립 어린이집 수,국공립 어린이집 비율,전체 유치원 수,국공립 유치원 수,국공립 유치원 비율,어린이집 아동 수(구),어린이집 교사 수(구),어린이집 교사 1인당 아동 수(구),유치원 학생 수(구),교원 수(구),유치원 교원 1인당 학생 수(구),아동센터 수,면적당 아동센터 수,학교 수,학원 수,녹지 개소(구),녹지 면적 (㎡)(구),근린시설 수,동 면적(km2),근린시설 밀집도,정류장 수,면적당 정류장 수,지하철역 수,면적당 지하철역 수,총 아파트 수,5년 미만,5년 이상 10년 미만,10년 이상 15년 미만,15년 이상 20년 미만,20년 이상 30년 미만,30년 이상 40년 미만,40년 이상 50년 미만,50년 이상,20년 미만 아파트 비율,10년 미만 아파트 비율,30년 이상 아파트 비율,주민수,외국인,외국인 비율,5대 범죄 발생 수,경찰서 및 지구대(구),경찰서 1개당 면적(구),cctv 수(구),공공도서관 수(구),공원 수(구),문화시설 개소(구),병원수,주간인구지수(%),주택수,일반가구수(가구),주택보급률,주택종류별 총합,단독주택합,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대 주택,비거주용건물내주택,전체 주택 대비 아파트 비율,16_예산액_x,16_집행액_x,17_예산액_x,17_집행액_x,18_예산액_x,18_집행액_x,19_예산액_x,19_집행액_x,20_예산액_x,20_집행액_x,16_effect,17_effect,18_effect,19_effect,20_effect,16_예산액_y,16_집행액_y,17_예산액_y,17_집행액_y,18_예산액_y,18_집행액_y,19_예산액_y,19_집행액_y,20_예산액_y,20_집행액_y,면적당 부동산거래가
0,종로구,사직동,0.07921840408123977,0.0933201276548916,0.28205128205128205,0.045454545454545456,0.09090909090909093,0.1111111111111111,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.0,0.0,0.21052631578947367,0.023174971031286212,1.0,0.04566684270143273,0.20276497695852533,0.08032128514056225,0.2004919162011375,0.3674033149171271,0.4132993120330671,0.3333333333333333,0.3252032520325203,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.16888339004021033,0.03725010786710772,0.08108108108108107,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.11580594679186229,0.6885245901639343,0.14790122139847459,0.15666844109577824,0.5388291517323777,0.14790122139847459,0.2158751245433411,0.2645892351274788,0.05405405405405406,0.14097744360902253,0.09564746903931706,0.02427637721755369,0.036933860531991373,0.10909090909090909,0.57,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.4179239301235397
1,종로구,삼청동,0.011261911637308691,0.0609180609180609,0.07692307692307693,0.045454545454545456,0.3333333333333333,0.0,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.0,0.0,0.10526315789473684,0.002317497103128621,1.0,0.04566684270143273,0.1336405529953917,0.10120481927710843,0.10854263278180626,0.06353591160220996,0.047259373491011725,0.0,0.0,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.04674223540328597,0.04343448870990939,0.3243243243243243,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.015649452269170576,0.6885245901639343,0.03866872899887994,0.04168543466688506,0.5197132616487455,0.03866872899887994,0.21388243108601795,0.23456090651558079,0.06706706706706707,0.18045112781954886,0.0,0.005913476501711796,0.0033249460819554278,0.06818181818181818,0.0,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.5778324309181829
2,종로구,부암동,0.06583886803349696,0.076723298344335,0.07692307692307693,0.09090909090909091,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.0,0.0,0.21052631578947367,0.028968713789107762,1.0,0.04566684270143273,0.06912442396313365,0.163855421686747,0.03540318173320627,0.2486187845303868,0.13762299467982841,0.0,0.0,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.1721766343407143,0.04113332374514597,0.08108108108108107,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.004694835680751174,0.6885245901639343,0.16347538535388553,0.1539658490643299,0.6463560334528078,0.16347538535388553,0.3430753902358021,0.424929178470255,0.10710710710710711,0.12969924812030076,0.0072742575447877844,0.28104575163398693,0.08770668583752696,0.08409090909090909,0.04,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.15099398793073054
3,종로구,평창동,0.16536721532390028,0.0986808582913434,0.07692307692307693,0.045454545454545456,0.3333333333333333,0.0,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.0,0.0,0.10526315789473684,0.03244495944380069,1.0,0.04566684270143273,0.14285714285714285,0.6939759036144577,0.016171785567767855,0.3370165745856354,0.029726026718124444,0.0,0.0,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.32359309328432884,0.02675104271537465,0.02702702702702703,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.021909233176838808,0.6885245901639343,0.31751026721425146,0.2560091724335613,0.8100358422939068,0.31751026721425146,0.515775489870475,0.61643059490085,0.15715715715715717,0.2838345864661654,0.06065889142719731,0.6803610333022098,0.10235442127965493,0.16136363636363635,0.17,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.1662596269550533
4,종로구,무악동,0.08720762344787755,0.11604138102954,0.07692307692307693,0.13636363636363635,1.0,0.1111111111111111,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.0,0.0,0.0,0.02085747392815759,1.0,0.04566684270143273,0.027649769585253454,0.01044176706827309,0.10468726896347777,0.044198895027624314,0.20221906064077452,0.0,0.0,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.14517567002056003,0.002876456205954264,0.0,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.00782472613458529,0.6885245901639343,0.15227478798869273,0.1175218050038901,0.859020310633214,0.15227478798869273,0.015941547658585187,0.00793201133144476,0.0045045045045045045,0.046992481203007516,0.16249849705422628,0.017117958294428883,0.00413371675053918,0.01818181818181818,0.95,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.46919078693388716
5,종로구,교남동,0.11281162768312637,0.1219437652811736,0.15384615384615385,0.18181818181818182,0.6666666666666666,0.0,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.4,0.37142857142857144,0.05263157894736842,0.02433371958285052,1.0,0.04566684270143273,0.06912442396313365,0.009638554216867469,0.25151559958598263,0.14364640883977903,0.6118399172240494,0.0,0.0,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.1805098160513819,0.02430605494031353,0.05405405405405406,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.018779342723004695,0.6885245901639343,0.2086511280601632,0.16760165431391016,0.8136200716845879,0.2086511280601632,0.07871139156426436,0.056657223796034,0.056056056056056056,0.046992481203007516,0.15185764097631357,0.027388733271086214,0.09525521207764198,0.013636363636363636,0.64,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.5019797132806013
6,종로구,가회동,0.02396765809991337,0.0695255011418421,0.10256410256410256,0.045454545454545456,0.25,0.1111111111111111,0.2,0.2,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.0,0.0,0.21052631578947367,0.002317497103128621,1.0,0.04566684270143273,0.10599078341013825,0.024899598393574297,0.24441815762235697,0.12983425414364644,0.35099302399106536,0.16666666666666666,0.37037037037037046,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.07263332181001073,0.016539623184237014,0.08108108108108107,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.010954616588419406,0.6885245901639343,0.08512453997546536,0.07043118627410835,0.777777777777778,0.08512453997546536,0.2427764862172036,0.31501416430594903,0.052552552552552555,0.13157894736842105,0.0,0.04263927793339558,0.0646117900790798,0.031818181818181815,0.0,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.5059212468805795
7,종로구,종로1.2.3.4가동,0.021850033689479256,0.0374554102259215,0.3076923076923077,0.045454545454545456,0.08333333333333333,0.1111111111111111,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.0,0.0,0.2631578947368421,0.08227114716106605,1.0,0.04566684270143273,1.0,0.170281124497992,0.5144984757488336,1.0,0.5856343469875387,0.3333333333333333,0.17021276595744683,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.15696584851076217,0.282324176614411,0.6216216216216216,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.24882629107981222,0.6885245901639343,0.08784468504986934,0.14835592318086893,0.21624850657108724,0.08784468504986934,0.17070740617734972,0.18073654390934846,0.03753753753753754,0.22556390977443608,0.05765299987976434,0.008714596949891068,0.004313443565780015,0.23409090909090907,0.58,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.23318977596743262
8,종로구,종로5.6가동,0.01876985272884782,0.0415094339622641,0.10256410256410256,0.045454545454545456,0.25,0.1111111111111111,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.4,0.21666666666666665,0.05263157894736842,0.010428736964078795,1.0,0.04566684270143273,0.4700460829493088,0.029718875502008028,0.9554931243530979,0.27348066298342544,0.6528953105945825,0.16666666666666666,0.33333333333333337,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.104510471061298,0.0730619876312383,0.24324324324324323,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.12832550860719877,0.6885245901639343,0.0700837377993493,0.10970066745833505,0.25925925925925924,0.0700837377993493,0.24244437064098306,0.18356940509915015,0.13663663663663664,0.25,0.013225922808705062,0.023653906006847185,0.012311286843997125,0.35454545454545455,0.17,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.48998593028279325
9,종로구,이화동,0.027529117335643467,0.043796648359386,0.07692307692307693,0.045454545454545456,0.3333333333333333,0.0,0.0,0.0,0.0,0.01831845937059656,0.0,0.019678425725941917,0.012658227848101278,0.44046636930147165,0.2,0.08333333333333333,0.0,0.008111239860950173,1.0,0.04566684270143273,0.22119815668202764,0.044176706827309245,0.3471263321921314,0.23480662983425418,0.42579869411841625,0.0,0.0,0.0,0.08928709353518188,0.0,0.06212277835206244,0.0,0.0,0.01734874833317295,0.028579156148575553,0.14433752775721687,0.5332348596750368,0.5263157894736842,0.2897862232779098,0.1375156929459071,0.07493168416510858,0.1891891891891892,0.20744902205576365,0.875,0.18519127401646834,0.0,0.4166666666666667,1.0,1.0,0.018779342723004695,0.6885245901639343,0.13968744999733318,0.1584701691167438,0.4814814814814815,0.13968744999733318,0.22650282298239788,0.1501416430594901,0.15565565565565564,0.19924812030075187,0.011362270049296621,0.08278867102396514,0.12760603882099208,0.15227272727272725,0.07,0.027027027027027,0.0957095709570957,0.0,0.0,0.15502645502645504,0.07689075630252101,0.22735507246376813,0.23581820232322098,0.12381686110499672,0.13310503982729105,0.7119850133570369,0.6794703772449084,0.04085403409443278,0.48262174166538163,0.4700375096791063,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291,0.22226527532616358
