,구,동,all_chi,pub_chi,ratio_chi,all_kin,pub_kin,ratio_kin,all
55,성동구,금호4가동,8,3,37.5,2,1,50.0,4
56,성동구,성수1가1동,6,4,66.66666666666666,3,2,66.66666666666666,6
57,성동구,성수1가2동,7,3,42.85714285714285,0,0,0.0,3
58,성동구,성수2가1동,6,2,33.33333333333333,1,1,100.0,3
59,성동구,성수2가3동,6,4,66.66666666666666,1,1,100.0,5
60,성동구,송정동,5,2,40.0,1,1,100.0,3
61,성동구,용답동,5,2,40.0,1,1,100.0,3
62,성동구,왕십리도선동,16,11,68.75,2,1,50.0,12
63,성동구,금호2.3가동,15,9,60.0,2,1,50.0,10
64,성동구,옥수동,15,10,66.66666666666666,4,1,25.0,11
65,광진구,화양동,5,2,40.0,1,1,100.0,3
66,광진구,군자동,10,4,40.0,2,0,0.0,4
67,광진구,중곡1동,3,2,66.66666666666666,0,0,0.0,2
68,광진구,중곡2동,11,4,36.36363636363637,0,0,0.0,4
69,광진구,중곡3동,11,3,27.27272727272727,1,1,100.0,4
70,광진구,중곡4동,11,3,27.27272727272727,1,1,100.0,4
71,광진구,능동,4,3,75.0,2,0,0.0,3
72,광진구,구의1동,7,3,42.85714285714285,0,0,0.0,3
73,광진구,구의2동,15,3,20.0,2,0,0.0,3
74,광진구,구의3동,15,6,40.0,1,0,0.0,6
75,광진구,광장동,17,8,47.05882352941176,5,1,20.0,9
76,광진구,자양1동,9,3,33.33333333333333,3,1,33.33333333333333,4
77,광진구,자양2동,10,4,40.0,3,2,66.66666666666666,6
78,광진구,자양3동,15,4,26.666666666666668,4,1,25.0,5
79,광진구,자양4동,9,4,44.44444444444444,0,0,0.0,4
80,동대문구,회기동,5,2,40.0,2,0,0.0,2
81,동대문구,휘경1동,7,2,28.57142857142857,0,0,0.0,2
82,동대문구,휘경2동,13,4,30.76923076923077,3,2,66.66666666666666,6
83,동대문구,청량리동,8,3,37.5,1,0,0.0,3
84,동대문구,용신동,14,6,42.85714285714285,1,0,0.0,6
85,동대문구,제기동,10,6,60.0,2,1,50.0,7
86,동대문구,전농1동,15,7,46.66666666666666,1,0,0.0,7
87,동대문구,전농2동,13,6,46.15384615384615,4,2,50.0,8
88,동대문구,답십리1동,16,8,50.0,1,1,100.0,9
89,동대문구,답십리2동,18,6,33.33333333333333,3,0,0.0,6
90,동대문구,장안1동,24,9,37.5,3,1,33.33333333333333,10
91,동대문구,장안2동,20,8,40.0,3,1,33.33333333333333,9
92,동대문구,이문1동,8,4,50.0,2,0,0.0,4
93,동대문구,이문2동,13,6,46.15384615384615,1,1,100.0,7
94,중랑구,면목2동,10,3,30.0,4,2,50.0,5
95,중랑구,면목4동,7,2,28.57142857142857,1,1,100.0,3
96,중랑구,면목5동,5,3,60.0,0,0,0.0,3
97,중랑구,면목7동,9,4,44.44444444444444,1,0,0.0,4
98,중랑구,상봉1동,11,5,45.45454545454545,2,0,0.0,5
99,중랑구,상봉2동,4,1,25.0,0,0,0.0,1
